,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
56,Christian Benteke\Christian-Benteke,FW,Crystal Palace,20.2,0.64,0.45,0.05,0.25,0.35,0,0.4,0,0.4,11.9,2.82,23.8,0.79,6.39,4.7,0.84,0.3,0.05,0.54,0.25,0.89,1.83,0
57,Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,1.3,2.31,1.54,1.54,0,0.77,0.77,0.77,100,0,10.8,4.62,42.9,6.92,3.08,0.77,1.54,0.77,0,0.77,1.54,3.85,3.85,0
58,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,15.1,1.26,0.93,0.4,0.6,0.26,0.66,1.52,43.5,0.86,11,3.18,28.9,3.18,4.77,3.05,1.26,0.13,0,1.13,1.13,2.38,0.93,0
59,Sander Berge\Sander-Berge,MF,Sheffield Utd,12.4,1.69,1.29,0.73,0.65,0.32,0.4,1.37,29.4,0.97,17.5,5.08,29,5.65,9.27,2.58,1.61,0.16,0,1.45,0.24,1.94,1.53,0.08
60,Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,13.4,1.19,0.75,0.52,0.22,0.45,0.45,1.79,25,1.34,18,4.7,26.1,4.4,7.09,6.49,0.75,0.07,0,0.67,0.9,2.09,0.37,0
61,Bernard\Bernard,MFFW,Everton,5.1,0.98,0.78,0.2,0.39,0.39,0.59,2.35,25,1.76,15.5,3.53,22.8,5.1,6.86,3.53,1.76,0,0,1.76,1.37,2.35,0.59,0
62,Bernardo\Bernardo,DFMF,Brighton,2.3,3.48,2.17,2.61,0.43,0.43,1.74,2.61,66.7,0.87,14.8,5.65,38.2,6.52,3.91,4.35,2.61,0,0,2.61,0,3.48,1.3,0
63,Ryan Bertrand\Ryan-Bertrand,DF,Southampton,28.9,2.46,1.49,1,1.25,0.21,0.97,1.66,58.3,0.69,11,4.26,38.8,4.19,5.05,1.73,1.63,0.17,0,1.45,1.07,3.53,1.94,0.03
64,Yves Bissouma\Yves-Bissouma,MF,Brighton,34.6,3.29,2.14,1.71,1.36,0.23,0.75,2.05,36.6,1.3,15.6,5.4,34.6,6.62,7.4,1.59,1.62,0.23,0,1.39,1.73,5.03,1.94,0
65,Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,12.3,2.93,1.3,1.71,1.14,0.08,1.63,2.85,57.1,1.22,19,5.45,28.6,8.86,6.5,3.66,2.11,0.33,0,1.79,1.63,4.55,1.79,0
