,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
233,James Justin\James-Justin,DF,Leicester City,23,2.74,1.22,1.78,0.78,0.17,0.74,1.87,39.5,1.13,15.1,4.78,31.7,7.96,4.65,2.48,2.35,0.48,0,1.87,1.09,3.83,2.78,0
234,Ozan Kabak\Ozan-Kabak,DF,Liverpool,8.9,2.13,1.12,1.35,0.45,0.34,0.22,0.79,28.6,0.56,11.6,4.61,39.8,6.52,4.49,0.56,0.56,0.34,0,0.22,1.35,3.48,5.51,0.11
235,Aboubakar Kamara\Aboubakar-Kamara,FWDF,Fulham,3.5,0.57,0.57,0.57,0,0,0.29,1.43,20,1.14,20.3,3.71,18.3,3.71,7.71,8.86,2.86,0.29,0,2.57,0.57,1.14,0.57,0
236,Harry Kane\Harry-Kane,FW,Tottenham,34.2,0.53,0.35,0.09,0.35,0.09,0.15,0.58,25,0.44,11.4,2.89,25.3,0.61,5.56,5.26,0.88,0.38,0.03,0.5,0.44,0.96,1.2,0
237,N'Golo Kanté\NGolo-Kante,MF,Chelsea,23.8,3.66,2.39,1.76,1.68,0.21,1.22,2.52,48.3,1.3,20.1,6.89,34.3,8.45,8.95,2.69,2.61,0.21,0,2.39,2.61,6.26,1.34,0
238,Moise Kean\Moise-Kean,FW,Everton,0.2,0,0,0,0,0,0,0,,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
239,Michael Keane\Michael-Keane,DF,Everton,33.2,0.93,0.45,0.69,0.18,0.06,0.36,1.02,35.3,0.66,6.14,2.11,34.3,3.95,1.93,0.27,2.23,1.14,0,1.08,1.3,2.23,5.96,0.06
240,Neeskens Kebano\Neeskens-Kebano,FWMF,Fulham,1.3,0.77,0.77,0.77,0,0,0.77,2.31,33.3,1.54,23.1,6.92,30,3.08,10,10,3.85,0,0,3.85,0,0.77,0.77,0
241,Naby Keïta\Naby-Keita,MF,Liverpool,5.8,1.21,0.86,0.69,0.34,0.17,0.34,3.1,11.1,2.76,24.8,6.38,25.7,3.1,12.9,8.79,1.9,0,0,1.9,2.07,3.28,1.03,0
242,Caoimhín Kelleher\Caoimhin-Kelleher,GK,Liverpool,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
243,Martin Kelly\Martin-Kelly,DF,Crystal Palace,0,1,0,1,0,0,1,1,100,0,3,2,66.7,2,1,0,0,0,0,0,0,1,1,0
244,Jonjoe Kenny\Jonjoe-Kenny,DF,Everton,0.9,1.11,0,1.11,0,0,0,1.11,0,1.11,12.2,1.11,9.1,4.44,4.44,3.33,2.22,0,0,2.22,1.11,2.22,1.11,0
245,Reda Khadra\Reda-Khadra,FW,Brighton,0.1,0,0,0,0,0,0,0,,0,10,10,100,0,0,10,0,0,0,0,0,0,0,0
246,Max Kilman\Max-Kilman,DF,Wolves,14.6,1.85,1.37,1.44,0.21,0.21,0.68,1.37,50,0.68,10.1,3.01,29.7,7.19,2.47,0.48,1.37,0.62,0,0.75,1.23,3.08,3.97,0
247,Joshua King\Joshua-King,MFFW,Everton,1.6,2.5,0.63,1.25,0,1.25,0.63,0.63,100,0,27.5,6.88,25,8.75,10.6,8.13,1.88,0,0,1.88,0.63,3.13,0.63,0
248,Mateusz Klich\Mateusz-Klich,MF,Leeds United,26.6,1.95,1.62,0.71,0.94,0.3,0.38,2.22,16.9,1.84,21.4,6.2,28.9,4.85,12,4.59,0.79,0.15,0,0.64,0.64,2.59,0.86,0
249,Robin Koch\Robin-Koch,DFMF,Leeds United,12.6,2.3,1.43,1.27,1.03,0,0.95,1.9,50,0.95,14.5,3.81,26.2,7.22,6.35,0.95,2.46,1.11,0,1.35,1.03,3.33,3.17,0.16
250,Sead Kolašinac\Sead-Kolasinac,DF,Arsenal,1,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0
251,Terence Kongolo\Terence-Kongolo,DF,Fulham,1,4,4,1,3,0,0,0,,0,14,8,57.1,6,7,1,2,0,0,2,0,4,6,0
252,Ezri Konsa\Ezri-Konsa,DF,Aston Villa,35.5,0.96,0.62,0.65,0.28,0.03,0.31,0.54,57.9,0.23,6.34,2,31.6,3.63,2.34,0.37,1.83,1.27,0,0.56,0.76,1.72,5.44,0
253,Cheikhou Kouyaté\Cheikhou-Kouyate,DF,Crystal Palace,34.7,2.02,1.04,1.53,0.4,0.09,0.75,1.3,57.8,0.55,10.1,3.14,31.1,6.63,2.94,0.52,1.79,0.81,0,0.98,1.1,3.11,4.67,0.06
254,Mateo Kovačić\Mateo-Kovacic,MF,Chelsea,20.2,2.72,1.78,1.19,1.29,0.25,0.5,1.63,30.3,1.14,16.5,5.74,34.7,4.9,8.32,3.32,0.74,0.05,0,0.69,1.09,3.81,0.64,0.05
255,Emil Krafth\Emil-Krafth,DF,Newcastle Utd,14.3,1.61,1.12,0.98,0.56,0.07,0.7,1.75,40,1.05,11.8,3.64,30.8,6.36,4.06,1.4,2.31,0.7,0,1.61,1.47,3.08,3.92,0.07
256,Filip Krovinović\Filip-Krovinovic,MF,West Brom,6.1,2.62,1.64,0.98,1.15,0.49,0.82,2.95,27.8,2.13,16.9,3.61,21.4,5.9,8.69,2.3,0.82,0,0,0.82,0.33,2.95,0.98,0
257,Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,21.4,1.17,0.89,0.28,0.56,0.33,0.19,0.75,25,0.56,15.4,5,32.5,1.87,6.31,7.2,0.79,0.09,0,0.7,0.65,1.82,0.61,0
258,Adam Lallana\Adam-Lallana,MFFW,Brighton,17.7,1.81,1.47,0.85,0.68,0.28,0.56,2.71,20.8,2.15,19.2,6.38,33.3,6.33,8.64,4.18,1.47,0.17,0,1.3,0.9,2.71,0.79,0
259,Érik Lamela\Erik-Lamela,FWMF,Tottenham,8,2.25,1.38,0.13,1.63,0.5,0.5,1.5,33.3,1,22.9,6.13,26.8,3.88,12.8,6.25,1,0.13,0,0.88,0.5,2.75,0.13,0
260,Tariq Lamptey\Tariq-Lamptey,DF,Brighton,9.8,1.73,1.02,0.92,0.61,0.2,0.71,1.43,50,0.71,12.7,4.18,33.1,5,5.41,2.24,1.53,0.1,0,1.43,1.33,3.06,1.73,0
261,Manuel Lanzini\Manuel-Lanzini,MFFW,West Ham,6.3,0.95,0.95,0.32,0.48,0.16,0.32,2.06,15.4,1.75,17.3,5.87,33.9,5.24,7.62,4.44,2.38,0,0,2.38,0.95,1.9,0.79,0
262,Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,14.9,0.87,0.4,0.67,0.2,0,0.2,0.6,33.3,0.4,5.44,1.61,29.6,3.22,1.81,0.4,1.21,0.54,0,0.67,0.54,1.41,3.56,0.07
263,Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,18.1,1.05,0.66,0.61,0.33,0.11,0.22,0.33,66.7,0.11,8.18,2.93,35.8,4.92,2.87,0.39,2.15,0.99,0.11,1.16,0.83,1.88,5.97,0.06
264,Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,1.4,1.43,0.71,1.43,0,0,0.71,0.71,100,0,6.43,1.43,22.2,4.29,1.43,0.71,0,0,0,0,0,1.43,5,0
265,Mario Lemina\Mario-Lemina,MF,Fulham,18.9,3.23,1.9,1.59,1.22,0.42,1.01,2.12,47.5,1.11,16.9,5.56,32.9,6.56,8.1,2.22,1.48,0.32,0,1.16,2.28,5.5,1.96,0
266,Bernd Leno\Bernd-Leno,GK,Arsenal,34.8,0,0,0,0,0,0,0,,0,0.09,0.06,66.7,0.09,0,0,0.03,0,0,0.03,0,0,0,0
267,Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,0.1,10,0,0,10,0,10,10,100,0,40,0,0,0,20,20,0,0,0,0,0,10,0,0
268,Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,20.4,2.45,1.27,1.67,0.69,0.1,1.03,2.01,51.2,0.98,16.5,3.97,24.1,8.82,5.98,1.67,1.72,0.34,0,1.37,0.98,3.43,1.72,0.05
269,Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,28.7,0.91,0.56,0.59,0.31,0,0.42,0.73,57.1,0.31,6.69,2.33,34.9,4.08,2.33,0.28,1.39,0.59,0,0.8,1.11,2.02,4.6,0.07
270,Jesse Lingard\Jesse-Lingard,MFFW,West Ham,15.8,0.95,0.63,0.32,0.44,0.19,0.32,1.01,31.3,0.7,21.2,4.49,21.2,3.04,11.8,6.39,0.44,0.06,0,0.38,0.44,1.39,0.06,0
271,Jake Livermore\Jake-Livermore,MF,West Brom,13.8,2.1,1.38,0.72,1.23,0.14,0.8,2.32,34.4,1.52,17.7,4.86,27.5,5.43,9.57,2.68,2.39,0.51,0,1.88,1.38,3.48,2.39,0
272,Diego Llorente\Diego-Llorente,DF,Leeds United,13.4,2.91,2.01,1.79,1.12,0,1.19,1.94,61.5,0.75,18.7,6.64,35.6,11.3,7.01,0.3,1.87,0.97,0,0.9,3.06,5.97,5.37,0.07
273,Hugo Lloris\Hugo-Lloris,GK,Tottenham,38,0,0,0,0,0,0,0.03,0,0.03,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.03
274,Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,10.5,3.14,2.19,1.52,1.05,0.57,0.95,2.95,32.3,2,27.6,8.67,31.4,8.95,14.1,4.57,1.05,0.1,0,0.95,0.76,3.9,0.86,0
275,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,21.2,1.51,1.04,0.52,0.71,0.28,0.42,1.04,40.9,0.61,15.9,4.72,29.7,2.92,8.25,4.72,1.13,0.09,0,1.04,1.08,2.59,0.71,0
276,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,0.7,0,0,0,0,0,0,0,,0,20,5.71,28.6,4.29,10,5.71,1.43,0,0,1.43,1.43,1.43,0,0
277,Kevin Long\Kevin-Long,DF,Burnley,7.1,1.97,1.13,1.41,0.56,0,0.7,1.13,62.5,0.42,7.46,2.82,37.7,4.79,2.54,0.14,1.27,0.7,0,0.56,0.56,2.54,4.37,0
278,Shane Long\Shane-Long,FWMF,Southampton,2.3,0.87,0,0,0,0.87,0.43,1.3,33.3,0.87,14.8,3.04,20.6,0.87,8.26,5.65,0.43,0,0,0.43,0.87,1.74,0.43,0
279,Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,4.2,0.95,0.71,0.95,0,0,0.48,1.43,33.3,0.95,23.3,5.95,25.5,7.14,13.8,2.38,2.14,0,0,2.14,1.43,2.38,0.71,0
280,Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,15.7,2.29,1.34,1.02,1.08,0.19,1.34,3.82,35,2.48,25.4,6.31,24.9,10.7,11.7,2.93,1.85,0.25,0,1.59,1.21,3.5,1.34,0.06
281,Ademola Lookman\Ademola-Lookman,FWMF,Fulham,30.5,1.25,0.95,0.39,0.62,0.23,0.16,1.15,14.3,0.98,17,5.08,30,3.61,7.57,5.77,1.38,0.07,0,1.31,0.82,2.07,0.43,0
282,Max Lowe\Max-Lowe,DF,Sheffield Utd,6.1,3.77,2.3,3.28,0.33,0.16,1.15,3.28,35,2.13,21.3,6.07,28.5,9.84,8.36,3.11,3.44,0.49,0,2.95,0.49,4.26,1.97,0.16
283,Matthew Lowton\Matthew-Lowton,DF,Burnley,34,1.97,1.06,1.06,0.85,0.06,0.97,2.24,43.4,1.26,8.53,2.47,29,3.94,3.35,1.24,1.94,0.41,0,1.53,1.62,3.59,3.41,0.06
284,David Luiz\David-Luiz,DF,Arsenal,15.5,0.97,0.58,0.45,0.52,0,0.32,0.45,71.4,0.13,6.13,2.39,38.9,3.29,2.52,0.32,1.48,0.71,0,0.77,0.77,1.74,4.32,0
285,Douglas Luiz\Douglas-Luiz,MF,Aston Villa,30.9,2.04,1.39,0.91,0.97,0.16,0.58,1.97,29.5,1.39,20,5.18,25.9,7.77,9.84,2.36,1.94,0.58,0,1.36,1.07,3.11,1.59,0
286,John Lundstram\John-Lundstram,MF,Sheffield Utd,22.6,1.15,0.53,0.4,0.62,0.13,0.4,1.9,20.9,1.5,15.5,3.32,21.4,4.78,7.61,3.1,1.73,0.35,0,1.37,0.93,2.08,1.5,0.04
287,Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,12.4,2.02,1.45,0.73,0.97,0.32,0.56,2.58,21.9,2.02,21.5,6.85,31.8,5.4,9.19,6.94,1.61,0.24,0,1.37,0.89,2.9,0.4,0
288,James Maddison\James-Maddison,MFFW,Leicester City,23.3,1.59,1.16,0.17,0.86,0.56,0.39,1.2,32.1,0.82,14.8,4.03,27.3,2.45,7.55,4.76,0.56,0.04,0,0.52,0.47,2.06,0.26,0
289,Harry Maguire\Harry-Maguire,DF,Manchester Utd,33.9,0.88,0.53,0.59,0.29,0,0.41,0.77,53.8,0.35,5.63,1.98,35.1,3.16,2.24,0.24,1.33,0.71,0,0.62,1.8,2.68,5.19,0.03
290,Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,21.7,0.92,0.69,0.14,0.41,0.37,0.37,1.61,22.9,1.24,11.6,2.72,23.4,1.2,5.16,5.25,1.11,0.05,0,1.06,0.28,1.2,0.14,0
291,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,13.7,1.46,1.02,0.66,0.44,0.36,0.36,2.04,17.9,1.68,23.9,7.59,31.8,7.23,10.9,5.69,1.39,0.15,0,1.24,1.82,3.28,1.9,0
292,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,5.4,3.15,2.04,1.67,1.11,0.37,1.48,2.04,72.7,0.56,20.9,4.63,22.1,8.89,8.15,3.89,2.41,0.56,0,1.85,2.41,5.56,2.22,0.19
293,Josh Maja\Josh-Maja,FWMF,Fulham,9,0.78,0.67,0.11,0.33,0.33,0.22,0.78,28.6,0.56,12.6,3.89,31,0.89,5.44,6.22,0.56,0.11,0,0.44,0.44,1.22,0.22,0
294,Sadio Mané\Sadio-Mane,FW,Liverpool,31.2,1.35,1.03,0.26,0.58,0.51,0.29,0.83,34.6,0.54,15,5.06,33.8,2.08,5.35,7.53,1.25,0.06,0,1.19,0.48,1.83,0.22,0
295,Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,9.2,2.93,1.52,1.09,1.52,0.33,0.98,1.63,60,0.65,13.4,3.59,26.8,4.78,5,3.59,1.85,0.22,0,1.63,0.87,3.8,2.28,0
296,Fernando Marçal\Fernando-Marcal,DF,Wolves,6.9,1.45,0.58,0.72,0.72,0,0.29,1.01,28.6,0.72,10.4,2.9,27.8,4.49,4.06,1.88,2.75,0.29,0,2.46,1.16,2.61,3.33,0
297,Solly March\Solly-March,DF,Brighton,18.6,3.01,1.88,1.56,0.97,0.48,0.81,1.77,45.5,0.97,12.9,3.82,29.6,4.62,4.52,3.76,2.69,0.32,0,2.37,1.02,4.03,0.86,0
298,Pablo Marí\Pablo-Mari,DF,Arsenal,10,1.4,1.1,1.1,0.3,0,0.4,1.1,36.4,0.7,6.8,2.7,39.7,4.1,2.5,0.2,1.3,0.7,0,0.6,0.5,1.9,5.6,0
299,Anthony Martial\Anthony-Martial,FW,Manchester Utd,16.4,0.06,0.06,0,0,0.06,0,0.43,0,0.43,9.02,2.56,28.4,0.79,2.38,5.85,1.34,0.3,0,1.04,0.24,0.3,0.55,0
300,Martinelli\Martinelli,FW,Arsenal,6.5,0.92,0.15,0.31,0.46,0.15,0.62,1.85,33.3,1.23,20.9,4.46,21.3,2.77,7.08,11.1,1.54,0.15,0,1.38,1.23,2.15,0.92,0
301,Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,38,0,0,0,0,0,0,0.03,0,0.03,0.16,0.03,16.7,0.16,0,0,0,0,0,0,0,0,0,0.03
302,Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,11.2,1.79,1.16,1.34,0.36,0.09,0.98,3.04,32.4,2.05,12.1,3.75,30.9,7.05,3.57,1.52,3.13,0,0,3.13,0.54,2.32,1.43,0
303,Juan Mata\Juan-Mata,FWMF,Manchester Utd,5.7,0.35,0.35,0.18,0.18,0,0,0.88,0,0.88,11.4,2.46,21.5,2.81,4.21,4.39,0.35,0,0,0.35,0.35,0.7,0.53,0
304,Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,2.5,0.4,0.4,0,0.4,0,0.4,1.2,33.3,0.8,12.4,1.6,12.9,0.8,7.2,4.4,0.8,0.4,0,0.4,0.4,0.8,0.8,0
305,Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,12.3,1.95,1.22,1.06,0.81,0.08,0.81,2.52,32.3,1.71,14.2,4.55,32,6.42,6.59,1.22,2.44,0.41,0,2.03,1.46,3.41,1.71,0.08
306,Joël Matip\Joel-Matip,DF,Liverpool,7.7,1.95,1.43,1.43,0.52,0,0.65,1.04,62.5,0.39,7.53,3.12,41.4,4.55,2.6,0.39,0.91,0,0,0.91,0.52,2.47,3.64,0
307,Neal Maupay\Neal-Maupay,FWMF,Brighton,27.9,0.86,0.65,0.22,0.43,0.22,0.14,0.65,22.2,0.5,17,5.23,30.7,2.65,6.7,7.67,0.65,0.07,0,0.57,0.43,1.29,0.32,0
308,James McArthur\James-McArthur,MF,Crystal Palace,16.3,3.44,1.6,1.78,1.35,0.31,1.1,2.76,40,1.66,23.2,6.26,27,9.75,11.2,2.27,2.39,0.25,0,2.15,1.41,4.85,1.53,0
309,Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,14.7,0.88,0.48,0.41,0.34,0.14,0.34,1.29,26.3,0.95,20.1,4.22,20.9,1.63,11,7.48,1.16,0.27,0,0.88,0.54,1.43,1.7,0
310,Alex McCarthy\Alex-McCarthy,GK,Southampton,30,0,0,0,0,0,0,0.1,0,0.1,0.13,0.03,25,0.13,0,0,0,0,0,0,0,0,0.03,0.07
311,James McCarthy\James-McCarthy,MF,Crystal Palace,9.1,1.98,0.88,1.32,0.66,0,1.1,2.75,40,1.65,19.9,4.62,23.2,9.45,9.01,1.43,2.2,0.88,0,1.32,0.88,2.86,1.32,0
312,John McGinn\John-McGinn,MF,Aston Villa,37,2,1.24,0.65,1.03,0.32,0.59,2.05,28.9,1.46,17.5,4.54,25.9,5.57,8.92,3.05,1.05,0.14,0,0.92,1.22,3.22,0.81,0.05
313,David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,26.6,1.13,0.6,0.23,0.6,0.3,0.34,1.28,26.5,0.94,16.3,3.95,24.2,2.63,7.18,6.5,1.35,0.15,0,1.2,0.45,1.58,1.09,0
314,Dwight McNeil\Dwight-McNeil,MF,Burnley,34.1,1.26,0.65,0.5,0.62,0.15,0.32,1.52,21.2,1.2,17.2,4.05,23.6,4.57,8.39,4.19,1.7,0.18,0,1.52,1.11,2.38,0.79,0.03
315,Scott McTominay\Scott-McTominay,MF,Manchester Utd,23.7,2.03,1.22,1.1,0.68,0.25,0.68,1.69,40,1.01,14.7,4.51,30.7,5.23,7.22,2.24,2.36,0.63,0,1.73,2.15,4.18,2.28,0
316,Ben Mee\Ben-Mee,DF,Burnley,29.9,1.27,0.8,0.64,0.57,0.07,0.27,0.77,34.8,0.5,5.42,1.67,30.9,3.18,1.87,0.37,2.04,1.44,0.03,0.6,1.17,2.44,8.06,0.03
317,Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,0.1,0,0,0,0,0,0,0,,0,60,10,16.7,10,50,0,0,0,0,0,0,0,0,0
318,Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,10.6,1.42,0.94,0.28,0.66,0.47,0.47,1.7,27.8,1.23,11.8,3.96,33.6,3.02,4.91,3.87,2.26,0.47,0,1.79,0.57,1.98,1.04,0.09
319,Edouard Mendy\Edouard-Mendy,GK,Chelsea,30.5,0,0,0,0,0,0,0.03,0,0.03,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.03
320,Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,16.2,2.16,1.36,1.17,0.86,0.12,0.43,1.05,41.2,0.62,16.5,5.19,31.5,6.54,7.59,2.35,1.48,0.12,0,1.36,0.56,2.72,0.68,0
321,Illan Meslier\Illan-Meslier,GK,Leeds United,35,0,0,0,0,0,0,0.03,0,0.03,0.2,0.06,28.6,0.2,0,0,0,0,0,0,0,0,0.03,0.09
322,Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,26.2,2.56,1.68,1.07,1.26,0.23,1.22,3.09,39.5,1.87,17.7,5.15,29.2,7.56,8.4,1.72,1.79,0.23,0,1.56,1.68,4.24,1.91,0
323,James Milner\James-Milner,MFDF,Liverpool,11.9,2.18,1.18,0.67,1.34,0.17,0.84,3.03,27.8,2.18,17.6,5.8,33,4.37,10.2,3.03,3.28,0.34,0,2.94,1.34,3.53,1.76,0.08
324,Yerry Mina\Yerry-Mina,DF,Everton,21.5,1.16,0.56,0.88,0.28,0,0.33,0.47,70,0.14,6.88,2,29.1,4.7,2.09,0.09,1.77,1.21,0,0.56,0.6,1.77,6.05,0.05
325,Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,3.3,1.21,0.91,0.3,0.61,0.3,0,3.64,0,3.64,24.8,7.58,30.5,5.76,12.4,6.67,0,0,0,0,0,1.21,0.91,0
326,Takumi Minamino\Takumi-Minamino,MFFW,Southampton,7.9,0.63,0.25,0.25,0.38,0,0.13,2.03,6.3,1.9,18.5,5.7,30.8,4.43,10.3,3.8,1.27,0.13,0,1.14,1.01,1.65,1.39,0
327,Tyrone Mings\Tyrone-Mings,DF,Aston Villa,35.5,0.93,0.51,0.68,0.2,0.06,0.39,0.73,53.8,0.34,7.1,2,28.2,4.11,2.45,0.54,2.37,1.32,0.03,1.04,1.07,2,6.48,0.14
328,Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,19,3.63,1.53,2.74,0.42,0.47,1,1.84,54.3,0.84,21.3,5.16,24.3,14.5,4.63,2.16,2.68,0.42,0,2.26,1.58,5.21,3.53,0.05
329,Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,15.6,0.71,0.58,0.06,0.26,0.38,0.13,0.45,28.6,0.32,12.5,4.55,36.4,0.77,4.23,7.5,1.15,0.26,0,0.9,0.19,0.9,0.45,0
330,Jakub Moder\Jakub-Moder,DFMF,Brighton,7.2,2.22,1.11,0.97,0.83,0.42,0.56,2.36,23.5,1.81,18.6,5.42,29.1,5.97,6.81,5.83,2.36,0.14,0,2.22,1.11,3.33,1.94,0
331,Jayson Molumby\Jayson-Molumby,MF,Brighton,0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
332,Wesley Moraes\Wesley-Moraes,MFFW,Aston Villa,0.2,0,0,0,0,0,0,5,0,5,25,10,40,0,20,5,0,0,0,0,0,0,0,0
333,Wes Morgan\Wes-Morgan,DF,Leicester City,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,5,0
334,Mason Mount\Mason-Mount,MFFW,Chelsea,32.1,2.34,1.37,0.78,1.03,0.53,0.65,2.18,30,1.53,21.3,6.39,29.9,4.39,10.2,6.79,1.46,0.06,0,1.4,1.12,3.46,0.47,0
335,Lucas Moura\Lucas-Moura,FWMF,Tottenham,15.7,2.17,1.4,0.7,1.21,0.25,0.57,1.91,30,1.34,17.1,4.14,24.2,4.39,8.22,4.52,1.15,0.06,0,1.08,1.27,3.44,0.7,0
336,Lys Mousset\Lys-Mousset,FWMF,Sheffield Utd,3.3,0,0,0,0,0,0,0.91,0,0.91,18.2,3.33,18.3,0.3,6.67,11.2,0.3,0.3,0,0,0,0,0.3,0
337,João Moutinho\Joao-Moutinho,MF,Wolves,28.1,2.49,1.64,1.28,1,0.21,1.03,3.35,30.9,2.31,19.3,5.69,29.5,7.33,9.5,2.49,1.42,0.11,0,1.32,1.39,3.88,1.1,0
338,Joel Mumbongo\Joel-Mumbongo,FW,Burnley,0.4,0,0,0,0,0,0,0,,0,17.5,2.5,14.3,0,2.5,15,2.5,0,0,2.5,0,0,0,0
339,Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,18.1,2.71,1.93,1.77,0.77,0.17,1.6,2.98,53.7,1.38,19.4,5.25,27.1,10,6.3,3.09,2.27,0.28,0,1.99,1.1,3.81,1.88,0
340,Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,0.5,2,2,2,0,0,2,2,100,0,14,4,28.6,6,8,0,2,0,0,2,0,2,4,0
341,Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,8.3,2.77,1.69,1.08,1.69,0,0.48,1.2,40,0.72,25.1,7.47,29.8,13,10.7,1.33,2.53,0.6,0,1.93,1.33,4.1,2.17,0
342,Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,0.1,0,0,0,0,0,0,0,,0,80,10,12.5,10,40,30,10,0,0,10,0,0,0,0
343,Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,24.2,4.46,3.02,2.07,2.02,0.37,1.24,3.1,40,1.86,20.2,7.56,37.4,8.18,10.1,1.9,2.73,0.54,0,2.19,2.56,7.02,3.18,0
344,Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,23.2,2.11,1.38,0.52,1.08,0.52,0.47,1.85,25.6,1.38,19.6,6.55,33.5,5.78,10.3,3.45,1.51,0.17,0,1.34,1.29,3.41,0.82,0
345,Reiss Nelson\Reiss-Nelson,FW,Arsenal,0.8,0,0,0,0,0,0,0,,0,16.3,7.5,46.2,2.5,7.5,6.25,1.25,0,0,1.25,1.25,1.25,1.25,0
346,Pedro Neto\Pedro-Neto,FWMF,Wolves,28.3,0.74,0.64,0.25,0.21,0.28,0.18,1.06,16.7,0.88,11.8,3.36,28.5,2.93,5.16,3.67,0.88,0.07,0,0.81,1.02,1.77,0.39,0
347,Rúben Neves\Ruben-Neves,MF,Wolves,29.7,3.03,2.22,1.52,1.28,0.24,1.25,3.2,38.9,1.95,19.7,6.57,33.4,8.15,9.66,1.85,2.39,0.37,0,2.02,1.55,4.58,1.82,0.03
348,Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,4.7,0.85,0.64,0,0.43,0.43,0,0.43,0,0.43,23.2,2.98,12.8,2.13,10.9,10.2,1.49,0.43,0,1.06,0.21,1.06,0.85,0
349,Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,0.9,4.44,0,2.22,1.11,1.11,1.11,6.67,16.7,5.56,32.2,7.78,24.1,8.89,15.6,7.78,5.56,0,0,5.56,0,4.44,4.44,0
350,Dan Nlundulu\Dan-Nlundulu,FW,Southampton,1.2,0,0,0,0,0,0,1.67,0,1.67,25,5.83,23.3,4.17,7.5,13.3,4.17,0,0,4.17,0,0,1.67,0
351,Mark Noble\Mark-Noble,MF,West Ham,7.9,0.89,0.63,0.38,0.38,0.13,0.25,1.77,14.3,1.52,14.7,2.91,19.8,5.82,7.22,1.65,1.14,0.38,0,0.76,1.39,2.28,0.89,0
352,Will Norris\Will-Norris,GK,Burnley,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
353,Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,24.7,2.31,1.17,0.89,1.3,0.12,0.69,3.16,21.8,2.47,18.6,4.29,23.1,6.88,9.43,2.27,1.5,0.49,0.04,1.01,1.62,3.93,2.47,0.04
