id,isResult,side,h/id,h/title,h/short_title,a/id,a/title,a/short_title,goals/h,goals/a,xG/h,xG/a,datetime,forecast/w,forecast/d,forecast/l,result
7457,true,a,82,Tottenham,TOT,88,Manchester City,MCI,1,3,0.445014,3.61987,2018-04-14 18:45:00,0.018914298733820868,0.058158955050997815,0.9229204196843959,w
7465,true,h,88,Manchester City,MCI,84,Swansea,SWA,5,0,3.41675,0.297493,2018-04-22 15:30:00,0.9305367133484768,0.05620275229343638,0.013257325238992795,w
7478,true,a,81,West Ham,WHU,88,Manchester City,MCI,1,4,0.228917,2.29076,2018-04-29 13:15:00,0.026392868675625115,0.12855810683278077,0.8450490018581542,w
7480,true,h,88,Manchester City,MCI,219,Huddersfield,HUD,0,0,0.78641,0.54565,2018-05-06 13:30:00,0.3785084490239549,0.38993248884896164,0.2315590621270736,d
7424,true,h,88,Manchester City,MCI,220,Brighton,BRI,3,1,1.64765,1.00939,2018-05-09 20:00:00,0.5229591401438269,0.24530631535921657,0.23173454420299955,w
7498,true,a,74,Southampton,SOU,88,Manchester City,MCI,0,1,0.506624,0.765614,2018-05-13 15:00:00,0.21977423902849613,0.39989338085613463,0.3803323801153626,w
9206,true,a,83,Arsenal,ARS,88,Manchester City,MCI,0,2,0.445187,2.0178,2018-08-12 18:00:00,0.07071540321554551,0.18069609931028593,0.7485884931252346,w
9213,true,h,88,Manchester City,MCI,219,Huddersfield,HUD,6,1,4.60356,0.663731,2018-08-19 15:30:00,0.9464344521684128,0.0379261477293494,0.015545170585963539,w
9217,true,a,229,Wolverhampton Wanderers,WOL,88,Manchester City,MCI,1,1,1.26376,1.84293,2018-08-25 14:30:00,0.262268503840609,0.22786991415782765,0.5098615806800411,d
9234,true,h,88,Manchester City,MCI,86,Newcastle United,NEW,2,1,2.46904,0.554763,2018-09-01 16:30:00,0.7942863075380588,0.1417941981965639,0.0639194352305359,w
9239,true,h,88,Manchester City,MCI,228,Fulham,FLH,3,0,4.91621,0.342698,2018-09-15 14:00:00,0.9770434509946113,0.018422949861091227,0.004344012547745681,w
9252,true,a,227,Cardiff,CAR,88,Manchester City,MCI,0,5,0.0980726,3.08415,2018-09-22 14:00:00,0.004944254793173577,0.05502538795266228,0.9400294181263847,w
9260,true,h,88,Manchester City,MCI,220,Brighton,BRI,2,0,2.90697,0.23023,2018-09-29 14:00:00,0.9070377608997032,0.07769075443903564,0.015271029135432707,w
9276,true,a,87,Liverpool,LIV,88,Manchester City,MCI,0,0,0.433994,1.07481,2018-10-07 15:30:00,0.14822126121715526,0.3370167609716945,0.514761977810325,d
9281,true,h,88,Manchester City,MCI,92,Burnley,BUR,5,0,4.48577,0.370236,2018-10-20 14:00:00,0.96571838474323,0.0271708689278439,0.007039579995053496,w
9296,true,a,82,Tottenham,TOT,88,Manchester City,MCI,0,1,0.442436,1.93588,2018-10-29 19:00:00,0.075076420913619,0.19082005454323625,0.7341035220227212,w
9300,true,h,88,Manchester City,MCI,74,Southampton,SOU,6,1,2.76272,1.81466,2018-11-04 15:00:00,0.579177425472287,0.17631076697819753,0.24451156382918762,w
9315,true,h,88,Manchester City,MCI,89,Manchester United,MUN,3,1,2.02764,0.97089,2018-11-11 16:30:00,0.6184606492009381,0.20829872261420374,0.1732406235491194,w
9317,true,a,81,West Ham,WHU,88,Manchester City,MCI,0,4,0.829504,2.95852,2018-11-24 15:00:00,0.07459570138147927,0.12316135014651283,0.8022423831488158,w
9329,true,h,88,Manchester City,MCI,73,Bournemouth,BOU,3,1,2.83557,0.715009,2018-12-01 15:00:00,0.8092324833936555,0.12397438874371175,0.06679279272325794,w
9341,true,a,90,Watford,WAT,88,Manchester City,MCI,1,2,1.672,2.51933,2018-12-04 20:00:00,0.24998219835886878,0.18718384376039265,0.5628338812800653,w
9352,true,a,80,Chelsea,CHE,88,Manchester City,MCI,2,0,0.526329,0.740048,2018-12-08 17:30:00,0.23216373906925586,0.40279881721754507,0.3650374437131949,l
9361,true,h,88,Manchester City,MCI,72,Everton,EVE,3,1,1.79848,1.6235,2018-12-15 12:30:00,0.4238326822001121,0.22477461361700973,0.35139270299294745,w
