Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21,2000,21.1,0.85,0.62,0.33,0.76,3.22,3.08,6.07,3.93,1.33,1.14,1.99,0.24,0.09
Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,26,1994,4,3,2,1,0.5,11.5,12.8,15,6,3.75,2.75,5.75,0.5,0
Samir Santos\92b4758e,br BRA,DF,Watford,26,1994,18.6,1.72,1.02,0.54,0.38,2.85,5.27,2.04,0.38,1.51,2.9,4.62,4.41,0.11
Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,21,2000,17.5,1.94,0.97,0.74,1.09,5.71,5.54,8.17,6.91,2.46,1.2,3.14,1.03,0.11
Jeremy Sarmiento\ac0d576d,ec ECU,FWMF,Brighton,19,2002,0.5,6,2,2,2,14,16,26,10,6,2,8,0,0
Ismaila Sarr\bfdb33aa,sn SEN,FWMF,Watford,23,1998,20.7,0.68,0.34,0.1,0.58,4.4,4.15,8.41,6.67,1.01,0.77,1.45,0.63,0
Malang Sarr\4315f30d,fr FRA,DF,Chelsea,22,1999,6.1,2.13,0.66,0.49,0.66,3.77,6.56,3.61,0.98,1.48,1.97,4.1,4.26,0
Dane Scarlett\21945a9e,eng ENG,MF,Tottenham,17,2004,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,29,1991,24,0.83,0.46,0.46,0.21,1.96,3.42,2.17,0.71,1.54,3.13,3.96,5.04,0.08
Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,28,1992,20.6,2.38,1.12,0.68,1.26,5.92,5.34,9.51,3.69,2.43,1.21,3.59,1.6,0
Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,34,1986,37,0,0,0,0.05,0,0.05,0,0,0,0,0,0.03,0.05
Ken Sema\1770bd68,se SWE,MFFW,Watford,27,1993,9.5,1.26,0.84,0.53,1.58,4.53,7.47,10.1,2.84,1.58,0.95,2.21,1.89,0
Nélson Semedo\d04b94db,pt POR,DF,Wolves,27,1993,23.7,2.49,1.69,1.1,0.93,4.56,7.68,5.49,2.83,1.81,1.81,4.3,2.41,0
Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,21,2000,11.6,2.33,1.21,1.03,1.21,4.91,8.62,6.38,4.83,2.59,1.64,3.97,1.9,0
Jamie Shackleton\8d03ca5a,eng ENG,DFMF,Leeds United,21,1999,7.9,3.29,2.28,1.14,1.52,4.94,6.58,6.2,1.77,2.03,1.27,4.56,1.14,0.25
Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26,1995,17.8,1.24,0.73,0.67,0.67,3.09,4.66,4.04,1.97,2.25,0.84,2.08,1.24,0
Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29,1992,22,1.27,0.64,0.45,1,3.18,4.77,6.91,1.36,1.27,1.59,2.86,1.5,0.09
Shola Shoretire\00f0482f,eng ENG,FW,Manchester Utd,17,2004,0.2,0,0,0,0,0,0,5,5,0,0,0,0,0
Francisco Sierralta\0f933743,cl CHI,DF,Watford,24,1997,4.7,1.28,0.85,1.06,0.64,2.13,3.83,1.28,0,1.91,2.98,4.26,8.51,0
Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,26,1994,31.7,1.64,1.04,0.82,1.29,4.51,2.74,6.94,5.46,1.04,1.01,2.65,0.82,0
Fábio Silva\e7aa9d7c,pt POR,FW,Wolves,19,2002,6.4,0.94,0.78,0.16,0.78,6.88,1.09,12.5,9.69,0.16,0.63,1.56,0.31,0
Thiago Silva\86e7deaf,br BRA,DF,Chelsea,36,1984,29.4,1.22,0.78,0.37,0.48,1.94,3.44,2.24,0.2,2.21,2.21,3.44,3.88,0
Ellis Simms\26d3b5be,eng ENG,FW,Everton,20,2001,0.7,0,0,0,0,4.29,2.86,7.14,4.29,2.86,0,0,0,0
Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,31,1989,35.8,1.65,1.12,0.53,0.45,4.47,4.94,6.98,2.18,1.48,1.23,2.88,2.01,0
Oliver Skipp\6250083a,eng ENG,MF,Tottenham,20,2000,15,2.2,1.2,0.8,1.07,4.73,7.27,8.73,2.33,1.67,1.27,3.47,0.93,0
William Smallbone\5e105217,ie IRL,MFFW,Southampton,21,2000,1.5,4,3.33,0.67,2.67,8.67,6.67,12.7,10,2,1.33,5.33,1.33,0
Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21,2000,21.3,0.94,0.75,0.19,0.52,3.66,2.54,5.87,3.62,0.7,0.94,1.88,0.61,0
Cédric Soares\839c14e1,pt POR,DF,Arsenal,29,1991,16.5,2.36,1.21,0.91,0.61,4.12,4.61,4.55,2.61,1.45,1.21,3.58,2.12,0.06
Tomáš Souček\6613c819,cz CZE,MF,West Ham,26,1995,34,2,1.21,0.74,1.26,3.79,5.91,6.47,1.82,1.44,1.62,3.62,3.5,0.03
Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22,1999,12.2,1.97,1.07,0.49,0.98,5.08,7.54,10.3,2.62,1.07,1.39,3.36,1.56,0
Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25,1996,27.7,1.88,1.08,0.9,0.58,3.36,5.2,3.83,0.32,2.02,1.81,3.68,5.02,0.04
Tony Springett\35be8087,eng ENG,FWMF,Norwich City,18,2002,1.6,1.88,0.63,1.25,1.25,3.75,7.5,17.5,5,0.63,0,1.88,0.63,0
Jason Steele\28300a16,eng ENG,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0
