Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
1611,Mike Maignan\fcb38f57,GK,Milan,it Serie A,26,1995,32,0,0,0,,0,0,,,,0,0,0,0,,0,0
1612,Ainsley Maitland-Niles\e3a5814e,MF,Arsenal,eng Premier League,23,1997,3,0,0.67,0,0,0.67,0,0,,26.5,0,0,0,0,0.02,0,0
1613,Ainsley Maitland-Niles\e3a5814e,DF,Roma,it Serie A,23,1997,5.4,0,0.56,0.37,66.7,0.55,0.37,0,0,18.5,0,0,0.07,0.07,0.14,-0.07,-0.07
1614,Josh Maja\bc0bfc64,FW,Bordeaux,fr Ligue 1,22,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1615,Abdul Majeed Waris\46907171,MFFW,Strasbourg,fr Ligue 1,29,1991,3.6,0.56,1.94,0.83,42.9,1.93,0.83,0.29,0.67,16.7,0,0,0.33,0.33,0.16,0.22,0.22
1616,Lovro Majer\fc46aab1,MF,Rennes,fr Ligue 1,23,1998,20.4,0.29,2.21,0.88,40,2.21,0.88,0.13,0.33,19.3,0.2,0,0.24,0.24,0.11,0.06,0.06
1617,Jean-Victor Makengo\22bfb57e,MF,Udinese,it Serie A,23,1998,26.1,0.04,1.23,0.38,31.3,1.23,0.38,0.03,0.1,20.1,0,0,0.09,0.09,0.07,-0.05,-0.05
1618,Béni Makouana\654f49ca,FWMF,Montpellier,fr Ligue 1,18,2002,3.6,0,1.94,0,0,1.96,0,0,,13.5,0,0,0.19,0.19,0.1,-0.19,-0.19
1619,Nemanja Maksimović\00b28772,MF,Getafe,es La Liga,26,1995,32.6,0.03,0.92,0.15,16.7,0.92,0.15,0.03,0.2,15.1,0,0,0.08,0.08,0.08,-0.05,-0.05
1620,Nikola Maksimović\16b9d5cf,DF,Genoa,it Serie A,29,1991,12.4,0,0.24,0,0,0.24,0,0,,8.4,0,0,0.02,0.02,0.05,-0.02,-0.02
1621,Kévin Malcuit\d6a889ea,DF,Napoli,it Serie A,30,1991,3.2,0,0.31,0,0,0.31,0,0,,15.6,0,0,0.03,0.03,0.07,-0.03,-0.03
1622,Daniel Maldini\801831fe,MF,Milan,it Serie A,19,2001,1.6,0.63,1.88,0.63,33.3,1.82,0.61,0.33,1,13.2,0,0,0.13,0.13,0.08,0.5,0.5
1623,Youssef Maleh\4c8845f7,MF,Fiorentina,it Serie A,22,1998,11.3,0.18,1.86,0.44,23.8,1.85,0.44,0.1,0.4,17.6,0,0,0.2,0.2,0.11,-0.03,-0.03
1624,Donyell Malen\864163f3,FW,Dortmund,de Bundesliga,22,1999,18.7,0.27,2.51,1.12,44.7,2.51,1.12,0.11,0.24,16.5,0,0,0.22,0.22,0.09,0.04,0.04
1625,Ruslan Malinovskyi\48d5bd33,FWMF,Atalanta,it Serie A,28,1993,17.7,0.34,3.28,0.96,29.3,3.28,0.96,0.1,0.35,21.4,0.4,0,0.21,0.21,0.06,0.13,0.13
1626,Hugo Mallo\cb574619,DF,Celta Vigo,es La Liga,30,1991,20.3,0.05,0.89,0.1,11.1,0.89,0.1,0.06,0.5,18.1,0,0,0.07,0.07,0.08,-0.02,-0.02
1627,Lennard Maloney\75402e99,DF,Dortmund,de Bundesliga,21,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1628,Mickael Malsa\bbc19252,MF,Levante,es La Liga,25,1995,12.7,0.08,1.02,0.16,15.4,1.02,0.16,0.08,0.5,22.7,0,0,0.08,0.08,0.08,0,0
1629,Giorgi Mamardashvili\d4b73232,GK,Valencia,es La Liga,20,2000,18,0,0,0,,0,0,,,,0,0,0,0,,0,0
1630,Rey Manaj\7703afb6,FW,Spezia,it Serie A,24,1997,19.6,0.26,2.6,0.71,27.5,2.6,0.71,0.06,0.21,17.4,0.31,0.1,0.36,0.24,0.1,-0.11,-0.09
1631,Hianga Mananga Mbock\0f86995c,MF,Brest,fr Ligue 1,21,1999,8.9,0,1.01,0,0,1.01,0,0,,23.5,0.34,0,0.04,0.04,0.04,-0.04,-0.04
1632,Vincent Manceau\c26a3918,DF,Angers,fr Ligue 1,32,1989,26.2,0,0.15,0,0,0.15,0,0,,23.4,0,0,0,0,0.02,0,0
1633,Gianluca Mancini\5aa53281,DF,Roma,it Serie A,25,1996,32,0,0.75,0.19,25,0.75,0.19,0,0,9.7,0,0,0.07,0.07,0.09,-0.07,-0.07
1634,Leonardo Mancuso\311027cb,FW,Empoli,it Serie A,29,1992,4.7,0.21,2.55,1.06,41.7,2.54,1.06,0.08,0.2,14.5,0,0,0.47,0.47,0.18,-0.26,-0.26
1635,Steve Mandanda\1d2d5cc8,GK,Marseille,fr Ligue 1,36,1985,9,0,0,0,,0,0,,,,0,0,0,0,,0,0
1636,Reinildo Mandava\c20bdcd7,DF,Atlético Madrid,es La Liga,27,1994,14.4,0,0.14,0,0,0.14,0,0,,7.2,0,0,0.01,0.01,0.12,-0.01,-0.01
1637,Reinildo Mandava\c20bdcd7,DF,Lille,fr Ligue 1,27,1994,16.9,0.06,0.36,0.18,50,0.35,0.18,0.17,0.33,11.7,0,0,0.04,0.04,0.12,0.02,0.02
1638,Aïssa Mandi\fbd6378b,DF,Villarreal,es La Liga,29,1991,15.3,0.07,0.65,0.2,30,0.65,0.2,0.1,0.33,8.8,0,0,0.12,0.12,0.19,-0.06,-0.06
1639,Rolando Mandragora\c7259b83,MF,Torino,it Serie A,24,1997,14.7,0,1.56,0.34,21.7,1.57,0.34,0,0,23.3,0.2,0,0.08,0.08,0.05,-0.08,-0.08
1640,Anthony Mandrea\f7d3a773,GK,Angers,fr Ligue 1,24,1996,10,0,0,0,,0,0,,,,0,0,0,0,,0,0
1641,Sadio Mané\c691bfe2,FW,Liverpool,eng Premier League,29,1992,31.3,0.51,3.16,1.18,37.4,3.16,1.18,0.16,0.43,13.3,0,0,0.53,0.53,0.17,-0.02,-0.02
1642,Eliaquim Mangala\f520049f,DF,Saint-Étienne,fr Ligue 1,30,1991,13.1,0.08,0.23,0.08,33.3,0.23,0.08,0.33,1,8.7,0,0,0.04,0.04,0.18,0.04,0.04
1643,Orel Mangala\a572e291,MF,Stuttgart,de Bundesliga,23,1998,20.6,0.05,0.83,0.39,47.1,0.83,0.39,0.06,0.13,16.1,0,0,0.08,0.08,0.1,-0.03,-0.03
1644,Thomas Mangani\c801616a,MF,Angers,fr Ligue 1,34,1987,24.4,0.29,0.45,0.12,27.3,0.45,0.12,0.09,0.33,27.4,0.08,0.25,0.21,0.03,0.06,0.07,0.01
1645,Ricardo Mangas\eef2d8ce,DF,Bordeaux,fr Ligue 1,23,1998,26.1,0.11,0.65,0.19,29.4,0.65,0.19,0.18,0.6,13.1,0,0,0.08,0.08,0.13,0.03,0.03
1646,Kostas Manolas\c707411f,DF,Napoli,it Serie A,30,1991,3.5,0,0,0,,0,0,,,,0,0,0,0,,0,0
1647,Javier Manquillo\758dd7f0,DF,Newcastle Utd,eng Premier League,27,1994,14,0.07,0.29,0.14,50,0.29,0.14,0.25,0.5,15.5,0,0,0.04,0.04,0.12,0.04,0.04
1648,Myziane Maolida\706a60e1,MFFW,Nice,fr Ligue 1,22,1999,0.4,0,2.5,0,0,2.65,0,0,,21.2,0,0,0.25,0.25,0.07,-0.25,-0.25
1649,Myziane Maolida\706a60e1,FWMF,Hertha BSC,de Bundesliga,22,1999,8.6,0.12,1.63,0.35,21.4,1.62,0.35,0.07,0.33,18.5,0,0,0.16,0.16,0.1,-0.05,-0.05
1650,Sekou Mara\3544641e,FW,Bordeaux,fr Ligue 1,19,2002,10.1,0.59,3.56,1.58,44.4,3.58,1.59,0.14,0.31,18.7,0,0.1,0.45,0.37,0.1,0.15,0.13
1651,Maranhão\ae86d473,FWMF,Valencia,es La Liga,24,1996,10.8,0.09,2.87,0.74,25.8,2.87,0.74,0.03,0.13,14.8,0.09,0,0.32,0.32,0.11,-0.23,-0.23
1652,Nikola Maraš\b9d0446f,DF,Rayo Vallecano,es La Liga,25,1995,11.6,0,0.17,0,0,0.17,0,0,,10.5,0,0,0.01,0.01,0.05,-0.01,-0.01
1653,Fernando Marçal\9ae9eaea,DF,Wolves,eng Premier League,32,1989,16.1,0,0.68,0.06,9.1,0.68,0.06,0,0,22.3,0,0,0.03,0.03,0.05,-0.03,-0.03
1654,Marcelo\603116a7,DF,Real Madrid,es La Liga,33,1988,4.9,0,1.63,0.61,37.5,1.63,0.61,0,0,20.2,0,0,0.06,0.06,0.04,-0.06,-0.06
1655,Marcelo\e3d0b0c4,DF,Bordeaux,fr Ligue 1,34,1987,10,0,0.3,0,0,0.3,0,0,,8.4,0,0,0.02,0.02,0.06,-0.02,-0.02
1656,Marcelo\e3d0b0c4,DF,Lyon,fr Ligue 1,34,1987,2,0,1,0,0,1,0,0,,12,0,0,0.05,0.05,0.03,-0.05,-0.05
1657,Solly March\bb5fbd2b,DFFW,Brighton,eng Premier League,27,1994,19.4,0,1.08,0.52,47.6,1.08,0.52,0,0,17.3,0.1,0,0.08,0.08,0.07,-0.08,-0.08
1658,Riccardo Marchizza\91d0fabf,DF,Empoli,it Serie A,23,1998,15,0,0.53,0.07,12.5,0.53,0.07,0,0,20.3,0.07,0,0.02,0.02,0.04,-0.02,-0.02
1659,Gian Marco Ferrari\8650af85,DF,Sassuolo,it Serie A,29,1992,34.7,0.03,0.72,0.26,36,0.72,0.26,0.04,0.11,11.4,0,0,0.05,0.05,0.07,-0.03,-0.03
1660,Iván Marcone\b14f755d,MF,Elche,es La Liga,31,1990,9,0,0.22,0,0,0.22,0,0,,19.5,0,0,0.01,0.01,0.04,-0.01,-0.01
1661,Óscar de Marcos\9f323c71,DF,Athletic Club,es La Liga,32,1989,18.7,0.05,0.16,0.16,100,0.16,0.16,0.33,0.33,15.7,0,0,0.01,0.01,0.08,0.04,0.04
1662,Davide Marfella\880fcdbb,GK,Napoli,it Serie A,21,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1663,José Mari\6f4c734d,MF,Cádiz,es La Liga,33,1987,4.3,0,0.93,0.23,25,0.93,0.23,0,0,13.2,0,0,0.09,0.09,0.09,-0.09,-0.09
1664,Pablo Marí\aa54ec6f,DF,Arsenal,eng Premier League,27,1993,2,0,0.5,0,0,0.5,0,0,,4.1,0,0,0.15,0.15,0.31,-0.15,-0.15
1665,Pablo Marí\aa54ec6f,DF,Udinese,it Serie A,27,1993,14.9,0.13,0.67,0.34,50,0.67,0.34,0.2,0.4,10.6,0,0,0.04,0.04,0.06,0.09,0.09
1666,José María Giménez\f0da930c,DF,Atlético Madrid,es La Liga,26,1995,22.7,0.04,0.79,0.22,27.8,0.79,0.22,0.06,0.2,12.4,0,0,0.05,0.05,0.07,-0.01,-0.01
1667,Mariano\5c4dc0ff,FW,Real Madrid,es La Liga,27,1993,3.8,0.26,3.68,0.79,21.4,3.68,0.79,0.07,0.33,12.8,0,0,0.58,0.58,0.16,-0.32,-0.32
1668,Răzvan Marin\7fac99d4,MF,Cagliari,it Serie A,25,1996,31.3,0,1.31,0.22,17.1,1.31,0.22,0,0,24.1,0.29,0,0.05,0.05,0.04,-0.05,-0.05
1669,Guillermo Maripán\d9764034,DF,Monaco,fr Ligue 1,27,1994,20.4,0,0.34,0.1,28.6,0.34,0.1,0,0,9.4,0,0,0.03,0.03,0.1,-0.03,-0.03
1670,Mika Màrmol\e7630876,DF,Barcelona,es La Liga,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
1671,Omar Marmoush\0e0102eb,FW,Wolfsburg,de Bundesliga,22,1999,0.3,0,3.33,0,0,3.75,0,0,,33.8,0,0,0.33,0.33,0.1,-0.33,-0.33
1672,Omar Marmoush\0e0102eb,FWMF,Stuttgart,de Bundesliga,22,1999,17.5,0.17,2.8,0.74,26.5,2.81,0.74,0.06,0.23,18.8,0.17,0,0.33,0.29,0.11,-0.16,-0.12
1673,Marquinhos\d5f2f82b,DF,Paris S-G,fr Ligue 1,27,1994,31.8,0.16,0.66,0.22,33.3,0.66,0.22,0.24,0.71,9.2,0,0,0.11,0.11,0.16,0.05,0.05
1674,Roger Martí\0ae4e09a,FW,Levante,es La Liga,30,1991,23.5,0.3,1.96,0.68,34.8,1.96,0.68,0.13,0.38,17,0,0.04,0.34,0.25,0.13,-0.05,0
1675,Anthony Martial\8b788c01,FW,Manchester Utd,eng Premier League,25,1995,2.4,0.42,2.08,0.83,40,2.12,0.85,0.2,0.5,12.3,0,0,0.17,0.17,0.09,0.25,0.25
1676,Anthony Martial\8b788c01,FWMF,Sevilla,es La Liga,25,1995,5.4,0,1.3,0.56,42.9,1.29,0.55,0,0,21.4,0.19,0,0.06,0.06,0.05,-0.06,-0.06
1677,Martín\cbec0059,MF,Cádiz,es La Liga,22,1999,1.3,0,1.54,0,0,1.57,0,0,,27.9,0.77,0,0.08,0.08,0.03,-0.08,-0.08
1678,Aarón Martín\2f3e911a,DF,Mainz 05,de Bundesliga,24,1997,25.5,0.04,0.71,0.16,22.2,0.71,0.16,0.06,0.25,21.2,0.2,0,0.04,0.04,0.06,0,0
1679,Ander Martin\e1e75690,FWMF,Real Sociedad,es La Liga,20,2000,1,0,4,2,50,4.09,2.05,0,0,21.5,0,0,0.2,0.2,0.04,-0.2,-0.2
1680,Andrés Martín\2ae30661,FWMF,Rayo Vallecano,es La Liga,22,1999,2.1,0,2.38,0.48,20,2.42,0.48,0,0,17.4,0,0,0.19,0.19,0.07,-0.19,-0.19
1681,Carlos Martín\64035864,DF,Atlético Madrid,es La Liga,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1682,Iván Martín\ae48c5cb,MF,Alavés,es La Liga,22,1999,1.8,0,0.56,0,0,0.54,0,0,,19,0,0,0.06,0.06,0.09,-0.06,-0.06
1683,Jonas Martin\468fdbad,MF,Rennes,fr Ligue 1,31,1990,23.4,0.04,0.9,0.17,19,0.9,0.17,0.05,0.25,19.3,0,0,0.04,0.04,0.05,0,0
1684,Martinelli\48a5a5d6,FWMF,Arsenal,eng Premier League,20,2001,20.7,0.29,2.42,0.72,30,2.42,0.73,0.1,0.33,14.4,0,0.05,0.35,0.31,0.13,-0.06,-0.07
1685,Lucas Martínez Quarta\3ec3c1c9,DF,Fiorentina,it Serie A,25,1996,15.9,0.06,1.01,0.25,25,1.01,0.25,0.06,0.25,11.5,0,0,0.08,0.08,0.07,-0.01,-0.01
1686,Emiliano Martínez\7956236f,GK,Aston Villa,eng Premier League,28,1992,36,0,0,0,,0,0,,,,0,0,0,0,,0,0
1687,Iñigo Martínez\3fc45c73,DF,Athletic Club,es La Liga,30,1991,26,0.12,1.04,0.35,33.3,1.04,0.35,0.11,0.33,11.9,0.12,0,0.08,0.08,0.08,0.03,0.03
1688,Javi Martínez\3672b352,MF,Osasuna,es La Liga,21,1999,9.8,0.1,0.92,0.2,22.2,0.92,0.2,0.11,0.5,16.4,0,0,0.08,0.08,0.08,0.02,0.02
1689,Josep Martinez\11d8aff0,GK,RB Leipzig,de Bundesliga,23,1998,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1690,Lautaro Martínez\f7036e1c,FW,Inter,it Serie A,23,1997,25.4,0.83,4.37,1.85,42.3,4.38,1.85,0.16,0.38,13,0,0.12,0.77,0.61,0.14,0.06,0.1
1691,Pablo Martínez\ecc77652,MF,Levante,es La Liga,23,1998,7.3,0,1.51,0.14,9.1,1.51,0.14,0,0,22.9,0,0,0.05,0.05,0.03,-0.05,-0.05
1692,Gelson Martins\3ef0fa48,FWMF,Monaco,fr Ligue 1,26,1995,21.2,0.19,1.37,0.52,37.9,1.37,0.52,0.14,0.36,13,0,0,0.22,0.22,0.16,-0.03,-0.03
1693,Adam Marušić\d4535821,DF,Lazio,it Serie A,28,1992,30.2,0.03,0.3,0.1,33.3,0.3,0.1,0.11,0.33,24.7,0,0,0.01,0.01,0.02,0.03,0.03
1694,Omar Mascarell\11fd2b75,MF,Elche,es La Liga,28,1993,27.7,0,0.43,0.04,8.3,0.43,0.04,0,0,22.8,0,0,0.02,0.02,0.05,-0.02,-0.02
1695,Andrea Masiello\e0314d87,DF,Genoa,it Serie A,35,1986,5.7,0,0.35,0,0,0.35,0,0,,19,0,0,0,0,0.02,0,0
1696,Adam Masina\de0f152c,DF,Watford,eng Premier League,27,1994,12,0,0.42,0,0,0.42,0,0,,11.6,0,0,0.03,0.03,0.08,-0.03,-0.03
1697,Erhan Mašović\a396fb61,DF,Bochum,de Bundesliga,22,1998,17.2,0,0.29,0,0,0.29,0,0,,12.8,0.06,0,0.02,0.02,0.08,-0.02,-0.02
1698,Roberto Massimo\fc62fdf4,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,0.21,2.06,1.13,55,2.05,1.13,0.1,0.18,18.4,0,0,0.26,0.26,0.12,-0.05,-0.05
1699,Arthur Masuaku\57df7a11,DFFW,West Ham,eng Premier League,27,1993,7.2,0.14,0.56,0.14,25,0.55,0.14,0.25,1,26.6,0,0,0.01,0.01,0.03,0.13,0.13
1700,Jaime Mata\02319ad7,FW,Getafe,es La Liga,32,1988,7.5,0.13,1.2,0.4,33.3,1.21,0.4,0.11,0.33,13.6,0,0,0.2,0.2,0.16,-0.07,-0.07
1701,Juan Mata\29733c72,MF,Manchester Utd,eng Premier League,33,1988,2.6,0,1.92,0.38,20,1.91,0.38,0,0,16,0,0,0.12,0.12,0.06,-0.12,-0.12
1702,Pape Matar Sarr\feb5d972,MF,Metz,fr Ligue 1,18,2002,23.7,0.04,1.35,0.34,25,1.35,0.34,0.03,0.13,27.9,0.04,0,0.07,0.07,0.05,-0.03,-0.03
1703,Eliot Matazo\15944afd,MF,Monaco,fr Ligue 1,19,2002,8.8,0,0.45,0.11,25,0.46,0.11,0,0,26.6,0,0,0.01,0.01,0.03,-0.01,-0.01
1704,Aleš Matějů\deb748c9,DF,Venezia,it Serie A,25,1996,8.1,0,0.25,0.25,100,0.25,0.25,0,0,11.4,0,0,0.02,0.02,0.08,-0.02,-0.02
1705,Jean-Philippe Mateta\50e6dc35,FW,Crystal Palace,eng Premier League,24,1997,12.7,0.39,2.91,1.42,48.6,2.91,1.41,0.14,0.28,10.5,0,0,0.43,0.43,0.15,-0.04,-0.04
1706,Nemanja Matić\eb7822d7,MF,Manchester Utd,eng Premier League,32,1988,15.4,0,0.39,0.06,16.7,0.39,0.07,0,0,23.4,0,0,0.01,0.01,0.03,-0.01,-0.01
1707,Joël Matip\b217ef29,DF,Liverpool,eng Premier League,29,1991,31,0.1,1.1,0.23,20.6,1.1,0.23,0.09,0.43,8.7,0,0,0.1,0.1,0.09,0,0
1708,Chrislain Matsima\cf1ef7ec,DF,Monaco,fr Ligue 1,19,2002,1.5,0,0.67,0,0,0.67,0,0,,10,0,0,0.07,0.07,0.09,-0.07,-0.07
1709,Azor Matusiwa\a17a94d6,MF,Reims,fr Ligue 1,23,1998,27.4,0.04,0.36,0.18,50,0.37,0.18,0.1,0.2,23.1,0,0,0.01,0.01,0.04,0.02,0.02
1710,Neal Maupay\4bcf39f6,FW,Brighton,eng Premier League,24,1996,25.3,0.32,2.33,0.55,23.7,2.33,0.55,0.12,0.5,15.9,0,0.04,0.3,0.25,0.1,0.01,0.03
1711,Stephy Mavididi\30144daa,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,0.31,2.31,0.9,39,2.31,0.9,0.14,0.35,16.3,0,0,0.3,0.3,0.14,0.02,0.02
1712,Konstantinos Mavropanos\00963611,DF,Stuttgart,de Bundesliga,23,1997,30.1,0.13,1.1,0.37,33.3,1.1,0.37,0.12,0.36,12.5,0,0,0.09,0.09,0.09,0.04,0.04
1713,Eric Maxim Choupo-Moting\0e6bc38c,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,0.95,3.57,1.9,53.3,3.58,1.91,0.27,0.5,11.1,0,0,0.67,0.67,0.21,0.29,0.29
1714,Luís Maximiano\3318286e,GK,Granada,es La Liga,22,1999,33.8,0,0,0,,0,0,,,,0,0,0,0,,0,0
1715,Borja Mayoral\64e8ed6d,FW,Getafe,es La Liga,24,1997,11.6,0.52,1.38,0.52,37.5,1.38,0.52,0.31,0.83,15.8,0,0.09,0.23,0.17,0.12,0.28,0.26
1716,Borja Mayoral\64e8ed6d,FWDF,Roma,it Serie A,24,1997,1.1,0,0.91,0,0,0.94,0,0,,14,0,0,0.09,0.09,0.1,-0.09,-0.09
1717,Derek Mazou-Sacko\810edef9,FWDF,Troyes,fr Ligue 1,16,2004,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
1718,Pasquale Mazzocchi\eb0ec070,DF,Venezia,it Serie A,26,1995,13.8,0,0.43,0,0,0.43,0,0,,21.8,0,0,0.04,0.04,0.1,-0.04,-0.04
1719,Pasquale Mazzocchi\eb0ec070,DF,Salernitana,it Serie A,26,1995,14.1,0,0.43,0.14,33.3,0.43,0.14,0,0,25.7,0.07,0,0.01,0.01,0.03,-0.01,-0.01
1720,Kevin Mbabu\493924a7,DF,Wolfsburg,de Bundesliga,26,1995,15.5,0,0.32,0,0,0.32,0,0,,10.6,0,0,0.03,0.03,0.07,-0.03,-0.03
1721,Kylian Mbappé\42fd9c7f,FW,Paris S-G,fr Ligue 1,22,1998,33.6,0.83,4.29,1.79,41.7,4.29,1.79,0.17,0.4,16.8,0.09,0.12,0.7,0.6,0.14,0.14,0.11
1722,Ibrahima Mbaye\cfbf9881,DF,Bologna,it Serie A,26,1994,1.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
1723,Amadou Mbengue\14d2670e,DFMF,Metz,fr Ligue 1,19,2002,6.8,0,0.44,0,0,0.44,0,0,,26.5,0,0,0,0,0.02,0,0
1724,Bryan Mbeumo\6afaebf2,FW,Brentford,eng Premier League,21,1999,32.3,0.12,2.38,0.59,24.7,2.39,0.59,0.04,0.16,15.9,0.09,0.03,0.3,0.28,0.12,-0.18,-0.19
1725,Jason Mbock\890bc029,FW,Angers,fr Ligue 1,21,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
1726,Jordi Mboula\4887118d,FW,Mallorca,es La Liga,22,1999,4.8,0,1.04,0,0,1.04,0,0,,13.2,0,0,0.06,0.06,0.06,-0.06,-0.06
1727,Moustapha Mbow\3f3a2cba,DF,Reims,fr Ligue 1,21,2000,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1728,Nathanael Mbuku\46750e9c,FWMF,Reims,fr Ligue 1,19,2002,15.8,0.13,2.09,0.82,39.4,2.09,0.83,0.06,0.15,18.7,0,0,0.19,0.19,0.09,-0.06,-0.06
1729,James McArthur\cee31595,MF,Crystal Palace,eng Premier League,33,1987,16,0,0.56,0.19,33.3,0.56,0.19,0,0,19.8,0,0,0.02,0.02,0.04,-0.02,-0.02
1730,James Mcatee\96593e89,MFFW,Manchester City,eng Premier League,18,2002,0.2,0,5,0,0,4.5,0,0,,13,0,0,0,0,0.04,0,0
1731,Kasey McAteer\b2c66859,FW,Leicester City,eng Premier League,19,2001,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
1732,Liam McCarron\076bb352,FW,Leeds United,eng Premier League,20,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
1733,Alex McCarthy\36c2ca73,GK,Southampton,eng Premier League,31,1989,17,0,0,0,,0,0,,,,0,0,0,0,,0,0
1734,John McGinn\90f91999,MF,Aston Villa,eng Premier League,26,1994,34.3,0.09,1.25,0.44,34.9,1.25,0.44,0.07,0.2,23.8,0,0,0.04,0.04,0.04,0.04,0.04
1735,Weston McKennie\01c3aff5,MF,Juventus,it Serie A,22,1998,15.2,0.2,1.51,0.33,21.7,1.51,0.33,0.13,0.6,15.3,0,0,0.15,0.15,0.1,0.05,0.05
1736,Stuart McKinstry\1000a059,MF,Leeds United,eng Premier League,18,2002,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
1737,Kenny McLean\471f16b3,MF,Norwich City,eng Premier League,29,1992,30.1,0.03,1.13,0.2,17.6,1.13,0.2,0.03,0.17,18.9,0,0,0.06,0.06,0.06,-0.03,-0.03
1738,Dwight McNeil\fc15fb84,MF,Burnley,eng Premier League,21,1999,34.5,0,1.51,0.43,28.8,1.51,0.43,0,0,22.1,0.12,0,0.07,0.07,0.04,-0.07,-0.07
1739,Scott McTominay\d93c2511,MF,Manchester Utd,eng Premier League,24,1996,26.5,0.04,1.02,0.26,25.9,1.02,0.26,0.04,0.14,19.4,0,0,0.06,0.06,0.06,-0.02,-0.02
1740,Gary Medel\563a68ad,DF,Bologna,it Serie A,33,1987,31.4,0,0.06,0,0,0.06,0,0,,10.4,0,0,0.01,0.01,0.14,-0.01,-0.01
1741,Facundo Medina\6f5ec8bb,DF,Lens,fr Ligue 1,22,1999,28.8,0.03,0.31,0.07,22.2,0.31,0.07,0.11,0.5,8.9,0,0,0.04,0.04,0.13,-0.01,-0.01
1742,Nathan de Medina\d686dbc0,DF,Arminia,de Bundesliga,23,1997,8.6,0,0.58,0.12,20,0.58,0.12,0,0,19.6,0,0,0.05,0.05,0.08,-0.05,-0.05
1743,Ben Mee\8df7a2fb,DF,Burnley,eng Premier League,31,1989,20.4,0.15,0.88,0.2,22.2,0.88,0.2,0.17,0.75,8,0,0,0.09,0.09,0.11,0.06,0.06
1744,Admir Mehmedi\b500b384,MF,Wolfsburg,de Bundesliga,30,1991,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
1745,Hannibal Mejbri\ca22ccb0,FW,Manchester Utd,eng Premier League,18,2003,0.8,0,1.25,1.25,100,1.32,1.32,0,0,22,0,0,0.13,0.13,0.09,-0.13,-0.13
1746,Farid El Melali\d21e361a,FW,Angers,fr Ligue 1,24,1997,0.2,0,5,0,0,6.43,0,0,,24.8,0,0,0,0,0.02,0,0
1747,Filippo Melegoni\6604165d,FWMF,Genoa,it Serie A,22,1999,10.9,0.09,1.19,0.64,53.8,1.19,0.64,0.08,0.14,22,0.09,0,0.06,0.06,0.05,0.04,0.04
1748,Óscar Melendo\379652be,MFFW,Espanyol,es La Liga,23,1997,11,0,0.73,0,0,0.73,0,0,,16.6,0,0,0.06,0.06,0.08,-0.06,-0.06
1749,Gonzalo Melero\3902e91b,MF,Levante,es La Liga,27,1994,18.8,0.37,1.06,0.48,45,1.06,0.48,0.25,0.56,16.2,0,0.11,0.22,0.14,0.13,0.15,0.13
1750,Birger Meling\70c52749,DF,Rennes,fr Ligue 1,26,1994,20.3,0,0.15,0.05,33.3,0.15,0.05,0,0,16.1,0,0,0,0,0.05,0,0
1751,Arthur Melo\48b3dd60,MF,Juventus,it Serie A,24,1996,10.7,0,0.19,0,0,0.19,0,0,,19.2,0,0,0.01,0.01,0.05,-0.01,-0.01
1752,Houboulang Mendes\1545cf15,DF,Lorient,fr Ligue 1,23,1998,35.8,0,0.59,0.14,23.8,0.59,0.14,0,0,19.5,0,0,0.04,0.04,0.07,-0.04,-0.04
1753,Nuno Mendes\f20e4cc9,DF,Paris S-G,fr Ligue 1,19,2002,18.4,0,0.38,0.05,14.3,0.38,0.05,0,0,20.8,0,0,0.03,0.03,0.07,-0.03,-0.03
1754,Pedro Mendes\6690ef25,DF,Montpellier,fr Ligue 1,30,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
1755,Thiago Mendes\c6e5d20f,MFDF,Lyon,fr Ligue 1,29,1992,20.7,0.1,0.77,0.19,25,0.77,0.19,0.13,0.5,24.1,0.19,0,0.03,0.03,0.05,0.06,0.06
1756,Tomás Mendes\45f771db,MF,Alavés,es La Liga,16,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
