Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
257,Jean-Ricner Bellegarde\10f0fdd3,MF,Strasbourg,fr Ligue 1,23,1998,25.9,0.08,1.2,0.27,22.6,1.2,0.27,0.06,0.29,20.2,0.08,0,0.1,0.1,0.08,-0.02,-0.02
258,Héctor Bellerín\f874dd44,DF,Betis,es La Liga,26,1995,22,0,0.45,0.05,10,0.45,0.05,0,0,20.6,0,0,0.02,0.02,0.04,-0.02,-0.02
259,Jude Bellingham\57d88cf9,MF,Dortmund,de Bundesliga,18,2003,31,0.1,1.42,0.39,27.3,1.42,0.39,0.07,0.25,17.3,0,0,0.14,0.14,0.1,-0.04,-0.04
260,George Bello\aca0a525,DF,Arminia,de Bundesliga,19,2002,4.8,0,0.63,0,0,0.62,0,0,,23.9,0,0,0.02,0.02,0.02,-0.02,-0.02
261,Jeanuel Belocian\c678ddd7,DF,Rennes,fr Ligue 1,16,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
262,Andrea Belotti\d705ba44,FW,Torino,it Serie A,27,1993,15.2,0.53,3.62,1.05,29.1,3.61,1.05,0.09,0.31,14.8,0.07,0.2,0.5,0.35,0.1,0.03,-0.02
263,Fran Beltrán\ed5c5fa3,MF,Celta Vigo,es La Liga,22,1999,28.9,0.03,0.69,0.14,20,0.69,0.14,0.05,0.25,27.6,0,0,0.01,0.01,0.02,0.02,0.02
264,Hatem Ben Arfa\74dc806c,FWMF,Lille,fr Ligue 1,34,1987,3.5,0,0.86,0.29,33.3,0.86,0.29,0,0,16.1,0.29,0,0.11,0.11,0.13,-0.11,-0.11
265,Salim Ben Seghir\1f6298f2,FW,Marseille,fr Ligue 1,18,2003,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
266,Wissam Ben Yedder\942b4f90,FW,Monaco,fr Ligue 1,30,1990,28.1,0.89,2.31,1.25,53.8,2.31,1.25,0.26,0.49,14,0.07,0.28,0.62,0.4,0.17,0.27,0.21
267,Marco Benassi\0000acda,DFMF,Fiorentina,it Serie A,26,1994,1.8,0,1.67,0,0,1.71,0,0,,21.2,0,0,0.06,0.06,0.03,-0.06,-0.06
