,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Rk,Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
42,Patrick Bamford\Patrick-Bamford,FW,Leeds United,33.9,14.9,12.3,2.6,0.03,0.12,2.98,0,0.15,0.06,0,0,0,11,2.89,1.03,9.71,3.27,0.65,0.03,0.59,11.4,0.09,0.29,0.68,0.65
43,Phil Bardsley\Phil-Bardsley,DF,Burnley,3,55,42.3,12.7,0.33,0,7.67,1.67,2.33,0,0,0,0,20,13.7,21.3,4,33.7,4.33,12.3,0,38.7,0.33,1.33,0.33,3
44,Ross Barkley\Ross-Barkley,MF,Aston Villa,17,44.9,39.2,5.71,1.35,0,10,1.29,1.18,3.18,1.12,0.59,0.65,31.4,6.12,7.41,5.88,35.4,1.88,0.24,0.24,36.4,0.12,0.47,0.88,1.18
45,Ross Barkley\Ross-Barkley,MF,Chelsea,0.5,52,52,0,0,2,14,2,0,0,0,0,0,36,8,8,8,34,4,0,0,44,0,0,4,0
46,Ashley Barnes\Ashley-Barnes,FW,Burnley,14.8,20.7,20.5,0.27,0.07,0,7.36,0.27,0.41,0,0,0,0,11.5,4.39,4.86,2.64,12.6,1.96,0,0.74,13.2,0.14,0.34,0.74,0.95
47,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,21.6,29,28.8,0.14,0.05,0.14,6.25,0.32,0.83,0,0,0,0,20.9,4.17,3.89,2.5,23.9,1.44,0.09,0.23,21.7,0.05,0.51,0.69,1.39
48,Kyle Bartley\Kyle-Bartley,DF,West Brom,28.7,28.2,27,1.15,0.8,0.03,4.91,1.01,0.14,0,0,0,0,17.9,2.79,7.49,3.31,19.9,2.72,0.35,0.03,22,0.07,0.94,0.35,0.28
49,Chris Basham\Chris-Basham,DFMF,Sheffield Utd,28.6,38.6,36.4,2.27,0.49,0.03,4.06,0.49,0.84,0,0,0,0,26.7,4.76,7.17,4.69,27.6,2.87,1.78,0.17,31.5,0.07,0.91,0.52,0.8
50,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,8.1,20.7,19.1,1.6,0.12,0.12,5.68,0,0.86,0,0,0,0,14.2,4.32,2.22,3.33,14.9,0.86,0.25,0.25,14.6,0,0.12,0.74,1.48
51,Jan Bednarek\Jan-Bednarek,DF,Southampton,34.4,58.3,55.7,2.59,1.28,0.03,7.27,0.87,0,0,0,0,0,41.6,5.17,11.5,9.48,42.1,3.84,1.31,0.2,49.3,0.06,1.02,0.67,0.52
52,Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,5.8,48.1,47.4,0.69,0.34,0,7.59,0.69,0.69,0,0,0,0,40.9,4.31,2.93,3.62,42.8,0.86,0.34,0.34,40.5,0,0.34,1.38,2.24
53,Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23.2,56.1,49,7.11,0.39,0.09,7.8,0.6,2.2,0,0,0,0,36.8,12.4,6.98,4.61,41.3,2.5,6.72,0.13,46.5,0.13,0.73,1.25,1.64
54,Saïd Benrahma\Said-Benrahma,FWMF,West Ham,15.5,34,33.2,0.77,0.06,0.19,5.29,0.65,2.52,0,0,0,0,25.4,3.94,4.71,4.77,27.7,0.84,0.32,0.19,26.5,0.19,0.52,1.1,1.03
55,Josh Benson\Josh-Benson,MF,Burnley,2.9,29.3,28.3,1.03,0.34,0,4.83,0,1.38,0,0,0,0,19,5.52,4.83,0.69,25.2,2.41,0.69,0,21.4,0,0,0,1.72
56,Christian Benteke\Christian-Benteke,FW,Crystal Palace,20.2,28.4,27.4,0.99,0.05,0.05,13.7,0.2,0.3,0,0,0,0,11.7,8.02,8.61,1.34,15,2.97,0.05,0.79,18.1,0.2,0.54,0.99,0.74
57,Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,1.3,43.1,39.2,3.85,0,0.77,2.31,0.77,0.77,0,0,0,0,30.8,4.62,7.69,7.69,29.2,1.54,3.85,0,35.4,0.77,0.77,0.77,0.77
58,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,15.1,31.3,30.9,0.4,0,0.07,7.02,1.19,1.59,0.26,0.2,0.07,0,20.4,3.97,6.89,24.7,3.25,1.99,0.07,0.2,23.6,0.2,0.4,0.66,0.6
59,Sander Berge\Sander-Berge,MF,Sheffield Utd,12.4,37.4,36.5,0.97,0.65,0.08,5.89,0.97,1.45,0.16,0.16,0,0,28.6,4.44,4.35,2.98,31.1,2.1,0.16,0,30.6,0.16,0.81,0.73,0.97
60,Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,13.4,31.9,31.2,0.75,0.22,0,5.52,0.3,0.9,0.3,0.22,0,0,25.4,2.99,3.58,1.27,29.6,0.9,0.07,0,25.9,0,0.15,0.82,0.67
61,Bernard\Bernard,MFFW,Everton,5.1,53.3,52.4,0.98,0.2,0,6.08,0.39,1.76,0,0,0,0,41,6.08,6.27,9.22,41.8,1.57,0.2,0.59,42.4,0.39,0.59,1.57,2.55
62,Bernardo\Bernardo,DFMF,Brighton,2.3,37.8,34.8,3.04,0.43,0,5.65,0.43,1.74,0,0,0,0,25.2,9.13,3.48,26.5,4.35,2.17,2.61,0,27,0.43,0.43,0.43,4.35
63,Ryan Bertrand\Ryan-Bertrand,DF,Southampton,28.9,53.2,41.1,12.1,1.9,0.03,5.74,0.73,1.97,0.24,0.1,0.07,0.03,30.8,9.27,13.1,36.6,3.04,2.56,9.93,0.24,40.9,0.24,0.9,1.11,1.66
64,Yves Bissouma\Yves-Bissouma,MF,Brighton,34.6,48.4,47.4,1.07,0.92,0.14,7.66,1.27,0.23,0,0,0,0,37.6,5.81,5.06,4.54,41,1.45,0.12,0.35,42.2,0.03,0.95,1.18,0.69
65,Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,12.3,31.1,25.9,5.28,0.08,0.16,5.12,0.08,0.98,0,0,0,0,18.5,7.48,5.2,4.31,19.3,1.54,5.2,0.24,24.4,0.08,0.65,0.73,1.3
66,Willy Boly\Willy-Boly,DF,Wolves,20.9,48,46.9,1.05,0.96,0,5.17,0.53,0,0,0,0,0,34.9,4.74,8.33,5.26,38.2,2.73,0.1,0.1,39.7,0.05,0.57,0.62,0.53
67,Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,28.5,25.8,23.2,2.56,0.18,0.04,5.44,1.61,1.82,1.96,1.61,0.18,0.07,15.5,4.18,6.07,19.4,5.02,0.53,0.04,0.14,17.5,0.14,0.35,0.56,1.65
68,Robbie Brady\Robbie-Brady,MF,Burnley,11.7,33.6,32.1,1.45,0.6,0.26,7.61,1.03,2.14,0.26,0.17,0,0,16.8,6.32,10.4,23.2,5.21,3.5,0.6,0,22.7,0.09,0.94,0.77,1.03
69,Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,12.5,18,17.4,0.56,0.08,0.24,4.48,0.48,1.04,0,0,0,0,11.3,3.76,2.96,1.92,13.8,1.52,0,0,12.5,0.08,0.4,0.8,0.96
70,Nathan Broadhead\Nathan-Broadhead,MF,Everton,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0
71,Josh Brownhill\Josh-Brownhill,MF,Burnley,31.3,37.9,37.2,0.73,0.32,0,8.27,0.61,0.54,0,0,0,0,22.7,6.52,8.72,4.03,27.6,3.71,0.35,0.32,30,0.06,0.54,0.48,0.8
72,Joe Bryan\Joe-Bryan,DFFW,Fulham,7.4,56.8,44.9,11.9,2.16,0.14,6.35,1.62,3.24,1.08,0.14,0.68,0.27,29.9,12,14.9,37.2,8.38,2.03,8.65,0,39.9,0.27,0.95,1.49,2.84
73,Kean Bryan\Kean-Bryan,DF,Sheffield Utd,11.2,39.6,37.6,1.96,0.36,0,4.82,1.34,1.34,0,0,0,0,22.9,4.29,12.3,33.3,1.7,2.23,1.61,0,28.8,0.09,1.07,1.25,0.98
74,Oliver Burke\Oliver-Burke,FW,Sheffield Utd,14.1,18.6,17.7,0.92,0,0.07,6.1,0.14,1.42,0,0,0,0,13.1,2.91,2.55,0.78,14.6,1.35,0,0.14,13.1,0,0.71,0.71,1.13
75,Dan Burn\Dan-Burn,DF,Brighton,22.9,54.2,47.7,6.55,0.48,0,7.55,0.87,1.4,0.04,0.04,0,0,32.7,9.26,12.3,35.9,5.33,3.71,6.03,0.17,41.6,0.17,1.57,1.31,1.44
76,Jack Butland\Jack-Butland,GK,Crystal Palace,1,21,10,11,3,0,1,0,0,0,0,0,0,3,0,18,0,16,0,0,2,6,1,0,0,0
77,David Button\David-Button,GK,West Brom,1,37,22,15,3,0,2,2,0,0,0,0,0,7,0,30,3,27,0,0,2,16,0,3,0,0
78,Oskar Buur\Oskar-Buur,DF,Wolves,0.2,75,70,5,0,0,0,0,0,0,0,0,0,65,5,5,0,70,0,5,0,70,0,0,0,0
79,Willy Caballero\Willy-Caballero,GK,Chelsea,1,26,19,7,1,0,1,0,0,0,0,0,0,21,2,3,3,21,0,0,2,24,0,0,0,0
80,Gary Cahill\Gary-Cahill,DF,Crystal Palace,20,34.9,33.5,1.3,1.3,0,4.75,0.6,0,0,0,0,0,24.1,3.4,7.3,4.7,26.1,1.75,0,0.35,29.5,0.1,0.55,0.4,0.25
81,Tom Cairney\Tom-Cairney,MF,Fulham,8.4,73.9,69.8,4.17,2.26,0,9.05,4.05,2.14,1.67,0.24,1.07,0.12,56.3,6.07,11.5,68.7,3.81,1.07,0,0.24,65.6,0.12,0.71,0.83,1.31
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,31.9,21,20.4,0.56,0,0.03,7.02,0.25,0.47,0.06,0,0,0,11.4,5.86,3.73,1.5,13.1,1.63,0.03,1.54,15,0.19,0.47,0.63,0.82
83,João Cancelo\Joao-Cancelo,DF,Manchester City,25.5,82.1,73,9.14,1.57,0.39,7.88,1.53,2.71,0.04,0,0,0,56.7,12.9,12.6,9.14,62.5,1.8,7.53,0.27,70.4,0.27,0.9,1.49,1.69
84,Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,3.9,30,29.7,0.26,0,0.26,6.15,0.77,2.31,0,0,0,0,22.8,3.59,3.59,23.1,5.64,1.03,0.26,0,22.1,0,1.28,1.28,1.54
85,Andy Carroll\Andy-Carroll,FW,Newcastle Utd,4.4,32,30.9,1.14,0.23,0,11.1,0.91,0.68,0,0,0,0,11.1,8.86,12,10.2,6.59,5.23,0.23,1.82,20.2,0.23,0.45,0.23,1.14
86,Scott Carson\Scott-Carson,GK,Manchester City,1,16,14,2,0,0,0,0,0,0,0,0,0,12,3,1,0,10,0,0,6,15,0,0,0,0
87,Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,2.8,30.7,28.6,2.14,0,0,5,0,0.71,0,0,0,0,25.4,2.5,2.86,3.93,25,1.07,0,0.71,23.9,0,0.71,1.07,2.5
88,Matty Cash\Matty-Cash,DF,Aston Villa,26.4,49.2,39.4,9.73,1.25,0.04,5.45,1.14,2.35,0,0,0,0,25.1,9.05,15,4.09,32.7,3.18,8.48,0,36.3,0.11,1.36,1.14,0.91
89,Kiko Casilla\Kiko-Casilla,GK,Leeds United,3,31.3,19.3,12,1.67,0,1.33,0.67,0,0,0,0,0,22,1.67,7.67,0.33,23.7,0,0,7,27.3,0,0.67,1,0
90,Timothy Castagne\Timothy-Castagne,DF,Leicester City,26.1,57.9,51,6.93,0.57,0.19,6.25,0.57,1.42,0,0,0,0,37.2,10,10.7,6.4,40.7,3.49,6.36,0.23,48.5,0.15,0.57,1.26,1.65
91,Jonny Castro\Jonny-Castro,DF,Wolves,5.5,43.5,33.5,10,0.55,0,6.73,0.55,1.09,0,0,0,0,23.3,13.5,6.73,8,22.2,2.36,9.45,0.55,34.2,0,1.27,2.18,1.82
92,Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,27.5,30.3,27.5,2.84,0.95,0.04,6.15,1.13,2.55,1.45,0.36,0.69,0.36,20,3.67,6.62,3.93,23.6,1.2,0.25,0.33,21.8,0.11,0.55,1.05,1.31
93,Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,15.3,22.4,21.6,0.85,0,0.13,3.59,0.46,0.33,0,0,0,0,16.1,3.07,3.2,3.59,17.6,0.65,0.2,0.33,17.6,0,0.33,0.98,0.72
94,Dani Ceballos\Dani-Ceballos,MF,Arsenal,17.9,71.8,68.9,2.91,1.45,0.39,8.44,2.51,0.73,0.95,0.34,0.34,0.11,54,8.49,9.33,4.08,65,1.73,0.45,0.28,62.1,0.06,0.95,1.45,1.56
95,Calum Chambers\Calum-Chambers,DF,Arsenal,8.4,68.5,58.1,10.4,0.95,0.12,6.9,0.95,3.21,0,0,0,0,43.6,12.5,12.4,3.33,50.8,3.57,9.4,0,55,0.12,0.71,1.19,2.02
96,Ben Chilwell\Ben-Chilwell,DF,Chelsea,25.4,71.1,59.5,11.6,1.46,0,6.61,1.77,3.66,1.26,0.91,0.28,0,43.9,11.2,16,52.2,6.61,2.44,8.9,0.04,55.9,0.16,1.06,1.3,2.24
97,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,3.5,67.1,66.3,0.86,0.57,0,3.43,1.71,0,0,0,0,0,47.4,10.6,9.14,3.14,55.4,7.14,0.29,0.57,54.3,0,2.57,2.57,0.86
98,Andreas Christensen\Andreas-Christensen,DF,Chelsea,15.2,71.6,70,1.64,1.32,0,5.39,0.92,0.07,0,0,0,0,61.4,3.55,6.64,4.87,63,2.43,0.26,0.13,66.5,0.2,0.39,0.72,0.39
99,Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,Aston Villa,0.2,40,40,0,0,0,20,0,0,0,0,0,0,35,5,0,0,35,0,0,0,25,0,5,0,5
100,Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,21,35.6,34.5,1.1,0.29,0.1,4.19,0.52,0,0,0,0,0,24.6,3.14,7.86,24.5,6,2.52,0.81,0.05,29.5,0.05,0.14,0.67,0.43
101,Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,12.7,44.8,34.6,10.2,0.31,0,4.49,0.39,1.02,0,0,0,0,25.2,9.53,10.1,1.73,31,1.65,9.84,0.16,34.4,0.16,0.94,1.18,1.65
102,Conor Coady\Conor-Coady,DF,Wolves,36.7,48.7,47.2,1.55,1.36,0.05,3.68,2.32,0.03,0,0,0,0,33.2,3.79,11.7,1.34,44.8,2.1,0.08,0.11,42.9,0.11,0.6,0.52,0.3
103,Séamus Coleman\Seamus-Coleman,DFMF,Everton,17.9,42.8,37.5,5.31,0.17,0.06,5.53,0.84,1.79,0,0,0,0,26.2,8.21,8.44,7.15,29.2,1.12,5.14,0,34.9,0.06,0.61,1.06,1.4
104,Aaron Connolly\Aaron-Connolly,FW,Brighton,8.8,11.5,10.3,1.14,0,0,2.5,0.11,0.23,0,0,0,0,7.27,2.95,1.25,1.25,8.41,0.57,0,0.34,8.98,0,0,0.23,0.45
105,Liam Cooper\Liam-Cooper,DF,Leeds United,24.3,64,62.3,1.69,1.56,0.04,5.1,2.18,0,0,0,0,0,47.2,6.13,10.6,51.6,6.42,3.46,0.12,0.16,56.1,0.25,1.07,0.66,0.37
106,Theo Corbeanu\Theo-Corbeanu,FW,Wolves,0.1,30,30,0,0,0,10,0,10,0,0,0,0,20,0,10,10,20,0,0,0,30,0,0,0,0
107,Jack Cork\Jack-Cork,MF,Burnley,15,33.3,32.9,0.4,0.07,0,7.13,0.73,0.27,0,0,0,0,23.9,4.27,5.13,4.4,24.9,1.67,0.33,0.2,27.5,0.2,0.6,0.53,0.8
108,Hélder Costa\Helder-Costa,MFFW,Leeds United,12.8,25.6,25.2,0.39,0,0,4.53,0.16,1.25,0,0,0,0,18.8,4.22,2.66,18.6,5.63,0.63,0.39,0.16,18.9,0,0.47,0.78,1.64
109,Vladimír Coufal\Vladimir-Coufal,DF,West Ham,33.9,49.9,39.3,10.6,0.91,0,5.49,0.86,3.01,0.06,0.06,0,0,22.9,10.9,16.2,5.58,30.8,2.98,9.68,0.06,35.4,0.18,0.83,1.53,2.21
110,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,35.2,58.6,45.9,12.6,2.93,0.06,4.49,2.39,2.59,2.33,0.63,1.45,0.17,31.4,10.4,16.8,45.7,3.35,1.39,7.36,0.11,43.8,0.65,0.99,1.36,1.87
111,Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,0.3,16.7,13.3,3.33,0,0,6.67,0,0,0,0,0,0,13.3,3.33,0,0,13.3,0,0,0,13.3,0,3.33,0,0
