Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,19.7,889,1127,78.9,14909,6947,1,0.8,+0.2,11,68,26,4,112,195
Tammy Abraham\Tammy-Abraham,FW,Chelsea,11.6,149,218,68.3,2057,327,1,0.9,+0.1,8,12,2,0,11,10
Che Adams\Che-Adams,FW,Southampton,29.6,443,633,70,7359,1633,5,5.8,-0.8,34,27,25,2,61,12
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,32.8,1594,1824,87.4,37337,11928,0,0.4,-0.4,5,68,5,1,73,49
Adrián\Adrian,GK,Liverpool,3,76,99,76.8,2031,1135,0,0,0,0,0,0,0,0,29
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,6.2,143,170,84.1,1867,285,1,1.3,-0.3,6,11,6,1,12,10
Ola Aina\Ola-Aina,DF,Fulham,29.6,1329,1711,77.7,25538,10322,1,1.4,-0.4,14,98,15,9,98,283
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,15.6,657,785,83.7,10835,3074,1,1,0,13,30,14,5,46,134
Semi Ajayi\Semi-Ajayi,DF,West Brom,30.9,705,948,74.4,15527,6592,0,0.3,-0.3,5,67,4,0,64,60
Nathan Aké\Nathan-Ake,DF,Manchester City,8.9,702,755,93,12873,3534,0,0,0,1,60,2,0,36,25
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,19.4,635,923,68.8,11394,4629,5,4.4,+0.6,39,51,42,16,87,99
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,20.6,1498,1674,89.5,31595,8231,0,2.3,-2.3,29,207,27,1,184,44
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,24.9,1143,1365,83.7,27127,7537,0,0.3,-0.3,7,76,6,1,52,60
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,0.2,7,11,63.6,126,51,0,0,0,0,0,0,0,0,3
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,33.7,2216,2941,75.3,47515,19500,7,8.1,-1.1,73,208,101,32,278,487
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,27.3,1305,1630,80.1,22206,8320,3,3.1,-0.1,27,82,32,13,114,254
Alisson\Alisson,GK,Liverpool,33,968,1137,85.1,25310,13346,0,0,0,0,7,0,0,1,236
Allan\Allan,MF,Everton,22.8,899,1048,85.8,16984,4349,0,0.9,-0.9,16,91,15,1,82,34
Dele Alli\Dele-Alli,MF,Tottenham,6.9,270,337,80.1,4654,1070,1,0.9,+0.1,8,17,9,1,27,21
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,27,711,877,81.1,12123,2700,1,2.8,-1.8,28,56,26,7,65,32
Marcos Alonso\Marcos-Alonso,DF,Chelsea,10.7,483,592,81.6,8125,2867,0,1.1,-1.1,12,19,8,2,49,86
Steven Alzate\Steven-Alzate,MFDF,Brighton,10,399,446,89.5,6928,1321,0,0.5,-0.5,10,33,6,0,35,15
Daniel Amartey\Daniel-Amartey,DF,Leicester City,8,400,466,85.8,7606,2362,0,0,0,0,19,1,0,25,33
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,23.2,857,1064,80.5,17276,5506,0,0.9,-0.9,10,69,16,2,84,85
Joachim Andersen\Joachim-Andersen,DF,Fulham,30.3,1529,1833,83.4,38236,11350,1,0.5,+0.5,9,121,9,1,99,68
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,1,1,100,10,0,0,0,0,0,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,4,6,66.7,61,28,0,0,0,0,0,0,0,2,0
Michail Antonio\Michail-Antonio,FW,West Ham,21.9,326,490,66.5,5008,924,5,2.3,+2.7,23,22,12,2,25,18
Alphonse Areola\Alphonse-Areola,GK,Fulham,36,737,1001,73.6,20163,12032,0,0,0,0,6,0,0,0,351
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,30.7,1002,1258,79.7,16614,4712,5,2.7,+2.3,34,90,40,5,116,77
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,6.5,198,243,81.5,5209,2622,0,0,0,0,3,0,0,1,51
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,25.9,518,691,75,7883,1507,3,2.8,+0.2,22,18,27,9,50,21
Serge Aurier\Serge-Aurier,DF,Tottenham,17.8,769,954,80.6,12616,5171,3,1.9,+1.1,12,29,20,6,61,163
Charlie Austin\Charlie-Austin,FW,West Brom,1.5,25,34,73.5,374,134,0,0,0,0,0,0,0,4,2
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,23.3,514,654,78.6,7192,1223,3,0.7,+2.3,12,12,14,2,36,18
Luke Ayling\Luke-Ayling,DF,Leeds United,37.8,2109,2661,79.3,42931,17225,0,2.6,-2.6,25,177,35,12,203,359
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,24.3,1763,2015,87.5,30771,11059,2,2.6,-0.6,26,130,25,5,116,185
Eric Bailly\Eric-Bailly,DF,Manchester Utd,10.2,494,547,90.3,10384,3113,0,0,0,0,28,0,0,29,15
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,13.3,357,465,76.8,8603,3296,0,0,0,0,33,0,0,30,26
George Baldock\George-Baldock,DF,Sheffield Utd,31,911,1160,78.5,13856,4559,2,1.7,+0.3,17,39,29,8,61,209
Gareth Bale\Gareth-Bale,FW,Tottenham,10.2,284,408,69.6,5574,1778,2,1.9,+0.1,20,23,16,6,32,32
Patrick Bamford\Patrick-Bamford,FW,Leeds United,33.9,386,506,76.3,5231,872,7,4.1,+2.9,29,21,13,2,31,88
Phil Bardsley\Phil-Bardsley,DF,Burnley,3,116,165,70.3,2256,949,0,0,0,0,9,6,1,11,38
Ross Barkley\Ross-Barkley,MF,Aston Villa,17,619,764,81,11391,2909,1,3.6,-2.6,39,45,27,0,76,97
Ross Barkley\Ross-Barkley,MF,Chelsea,0.5,22,26,84.6,441,72,0,0.1,-0.1,1,2,1,0,2,0
Ashley Barnes\Ashley-Barnes,FW,Burnley,14.8,195,307,63.5,2579,574,0,0.7,-0.7,13,13,7,1,20,4
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,21.6,468,626,74.8,7239,1875,4,1.5,+2.5,25,37,19,2,62,3
Kyle Bartley\Kyle-Bartley,DF,West Brom,28.7,630,809,77.9,13475,4389,1,0.2,+0.8,4,52,3,1,30,33
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,28.6,900,1105,81.4,16284,4713,1,0.8,+0.2,10,54,15,7,62,65
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,8.1,118,168,70.2,1722,350,1,1.4,-0.4,7,7,4,1,11,13
Jan Bednarek\Jan-Bednarek,DF,Southampton,34.4,1697,2005,84.6,32478,10807,1,0.3,+0.7,5,80,4,0,80,89
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,5.8,235,279,84.2,3651,758,1,1,0,3,11,2,1,10,4
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23.2,1079,1302,82.9,18140,5147,2,2.4,-0.4,22,61,29,9,88,165
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,15.5,411,527,78,6393,1825,6,4.4,+1.6,27,41,22,6,47,12
Josh Benson\Josh-Benson,MF,Burnley,2.9,62,85,72.9,865,322,0,0,0,0,4,0,0,7,3
Christian Benteke\Christian-Benteke,FW,Crystal Palace,20.2,366,573,63.9,5051,990,1,1,0,15,25,14,2,33,20
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,1.3,46,56,82.1,898,426,0,0,0,0,2,1,0,3,5
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,15.1,356,472,75.4,6119,1493,0,0.5,-0.5,10,19,15,5,34,6
Sander Berge\Sander-Berge,MF,Sheffield Utd,12.4,380,464,81.9,6911,1423,1,1.2,-0.2,12,33,4,2,30,12
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,13.4,347,428,81.1,4842,849,3,1.3,+1.7,14,21,9,0,18,10
Bernard\Bernard,MFFW,Everton,5.1,216,272,79.4,3591,923,0,0.7,-0.7,10,21,11,2,23,5
Bernardo\Bernardo,DFMF,Brighton,2.3,62,87,71.3,1042,288,0,0.2,-0.2,2,3,2,1,6,7
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,28.9,1181,1537,76.8,19449,7477,1,1.2,-0.2,13,65,24,5,97,349
Yves Bissouma\Yves-Bissouma,MF,Brighton,34.6,1461,1676,87.2,29183,5414,0,1,-1,15,123,21,2,114,37
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,12.3,300,383,78.3,4772,1869,0,0.2,-0.2,4,17,7,1,23,65
Willy Boly\Willy-Boly,DF,Wolves,20.9,830,1003,82.8,16279,5637,1,0.4,+0.6,3,47,1,0,40,22
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,28.5,499,734,68,9687,2148,5,4.6,+0.4,28,22,22,9,37,73
Robbie Brady\Robbie-Brady,MF,Burnley,11.7,266,393,67.7,4703,1627,1,0.9,+0.1,7,23,6,4,32,17
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,12.5,156,225,69.3,2629,649,0,1.7,-1.7,8,13,4,2,14,7
Nathan Broadhead\Nathan-Broadhead,MF,Everton,0,2,2,100,21,2,0,0,0,0,0,0,0,0,0
Josh Brownhill\Josh-Brownhill,MF,Burnley,31.3,938,1187,79,14887,3376,1,1.1,-0.1,19,66,17,2,66,23
Joe Bryan\Joe-Bryan,DFFW,Fulham,7.4,295,420,70.2,5236,2212,0,0.4,-0.4,6,23,5,2,27,88
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,11.2,323,443,72.9,6614,3041,0,0.4,-0.4,4,27,3,1,22,22
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,14.1,185,262,70.6,2434,326,1,1.8,-0.8,13,5,8,1,11,13
Dan Burn\Dan-Burn,DF,Brighton,22.9,952,1242,76.7,16883,5286,0,1,-1,9,73,15,5,77,150
Jack Butland\Jack-Butland,GK,Crystal Palace,1,6,21,28.6,258,207,0,0,0,0,1,0,0,0,11
David Button\David-Button,GK,West Brom,1,16,37,43.2,687,484,0,0,0,0,0,0,0,0,15
Oskar Buur\Oskar-Buur,DF,Wolves,0.2,14,15,93.3,201,47,0,0,0,0,0,0,0,0,1
