Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Callum Robinson\Callum-Robinson,FWMF,West Brom,17.3,319,450,70.9,5044,1156,0,0.8,-0.8,14,21,12,7,22,23
Jack Robinson\Jack-Robinson,DF,Sheffield Utd,9.7,354,439,80.6,6743,2333,1,0.9,+0.1,1,24,1,0,20,43
Hal Robson-Kanu\Hal-Robson-Kanu,FW,West Brom,6.2,64,86,74.4,941,238,0,0.4,-0.4,6,7,2,1,9,6
Marek Rodák\Marek-Rodak,GK,Fulham,2,37,46,80.4,959,536,0,0,0,0,0,0,0,0,9
Joe Rodon\Joe-Rodon,DF,Tottenham,8.1,365,411,88.8,7783,1857,0,0,0,0,9,0,0,10,6
Rodri\Rodri,MF,Manchester City,30.5,2495,2728,91.5,50166,10296,2,1.7,+0.3,27,239,17,1,156,39
Rodrigo\Rodrigo,MFFW,Leeds United,14.3,432,573,75.4,7609,1732,2,2.4,-0.4,28,39,20,4,57,8
James Rodríguez\James-Rodriguez,FWMF,Everton,19.6,879,1111,79.1,18324,5584,4,5.4,-1.4,43,104,41,7,132,135
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,14.1,208,283,73.5,2682,611,2,1.7,+0.3,8,11,7,1,22,3
Oriol Romeu\Oriol-Romeu,MF,Southampton,19.6,1042,1258,82.8,17575,3666,1,1.1,-0.1,14,62,15,1,87,15
John Ruddy\John-Ruddy,GK,Wolves,1,19,24,79.2,524,323,0,0,0,0,0,0,0,0,8
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,19,1339,1475,90.8,27991,7649,0,0.3,-0.3,3,111,4,1,52,34
Mathew Ryan\Mathew-Ryan,GK,Brighton,11,314,399,78.7,8454,4146,0,0,0,0,1,0,0,0,84
Mathew Ryan\Mathew-Ryan,GK,Arsenal,3,62,67,92.5,1535,794,0,0,0,0,0,0,0,0,12
