,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
471,William Thomas Fish\William-Thomas-Fish,DF,0,0,1,0,0,0,0,0,,0,1,0,0,,0,0,0,0,0,0,0,0
472,Luke Thomas\Luke-Thomas,DF,10.8,33.2,44.8,74.2,521.9,181.2,19,22.2,85.4,11.7,15.4,75.9,5,40.7,0,0.02,-0.02,0.46,2.04,0.65,0.19,2.59
473,Youri Tielemans\Youri-Tielemans,MF,37.3,53.9,68.6,78.6,1039.4,267.1,21.1,23.9,88.2,24.4,28.1,86.7,14.4,52.4,0.11,0.09,0.02,1.29,5.68,1.15,0.11,5.52
474,Kieran Tierney\Kieran-Tierney,DF,25.5,44.5,58.4,76.2,818.3,238,18.8,21.6,87.3,20.4,24.5,83.4,10.6,46.9,0.12,0.16,-0.04,1.29,2.2,1.33,0.55,3.84
475,James Tomkins\James-Tomkins,DF,6.1,21.1,26.9,78.7,476.9,148.7,5.25,5.9,88.9,11,11.8,93.1,8.52,55.8,0,0.02,-0.02,0.16,1.97,0,0,0.66
476,Fikayo Tomori\Fikayo-Tomori,DF,0.5,54,58,93.1,1148,322,12,12,100,34,36,94.4,10,80,0,0,0,0,0,0,0,0
477,Ferrán Torres\Ferran-Torres,FWMF,14.5,24.8,30.5,81.4,399.5,72.1,13,15,87.1,9.52,10.9,87.3,3.31,45.8,0.14,0.13,0.01,1.24,1.1,1.03,0.14,2.34
478,Cenk Tosun\Cenk-Tosun,FW,0.5,16,20,80,302,28,8,8,100,6,6,100,4,50,0,0.2,-0.2,2,0,0,0,0
479,Andros Townsend\Andros-Townsend,MFFW,25.1,23.4,34.4,67.9,412.7,157.9,11.9,14.1,84.5,7.17,9.68,74.1,8.25,41.1,0.2,0.15,0.05,1.55,1.67,1.59,0.8,2.99
480,Conor Townsend\Conor-Townsend,DF,24.8,35.5,47.4,74.9,660.2,319.6,15,16.9,88.8,16.3,20.5,79.7,8.71,43.5,0.08,0.08,0,0.89,3.15,1.01,0.6,4.76
481,Adama Traoré\Adama-Traore,FW,29.4,19.7,29.9,65.9,322,82,10.1,13.1,77.6,7.18,10.6,67.6,3.5,50.5,0.07,0.18,-0.12,1.9,1.46,0.88,0.54,2.14
482,Bertrand Traoré\Bertrand-Traore,FW,25.7,22,31,71.1,422.3,102.6,9.61,11.8,81.3,8.33,10.7,78.1,6.96,52,0.23,0.12,0.11,1.28,1.09,1.01,0.27,2.41
483,Trézéguet\Trezeguet,FW,13,17.5,25.2,69.5,290.9,84.8,8.23,10.8,76.4,6.69,9.23,72.5,3.23,54.8,0.08,0.15,-0.08,0.92,1.69,0.46,0.23,2.15
484,Leandro Trossard\Leandro-Trossard,FWMF,29,28,37.4,74.9,538.2,149.2,11.9,14.8,80.2,11.6,14.1,82,6.03,65.1,0.17,0.15,0.02,1.59,2.72,2.21,0.52,4.28
485,Kostas Tsimikas\Kostas-Tsimikas,DF,0.1,60,80,75,1180,0,40,40,100,10,20,50,20,50,0,0,0,0,0,0,0,0
486,Axel Tuanzebe\Axel-Tuanzebe,DF,4.5,52.4,58.4,89.7,1058.4,232.7,16.9,18,93.8,27.3,29.3,93.2,9.56,81.4,0,0,0,0,2,0,0,2.22
487,Cengiz Ünder\Cengiz-Under,MFFW,3.1,29.4,41.6,70.5,501.9,161,16.1,19.7,82,9.68,12.3,78.9,6.13,52.6,0.65,0.58,0.06,1.94,1.61,3.23,1.29,3.23
488,Yan Valery\Yan-Valery,DFMF,1.1,48.2,58.2,82.8,802.7,244.5,22.7,24.5,92.6,23.6,25.5,92.9,5.45,33.3,0,0,0,0,0,1.82,0.91,1.82
489,Jamie Vardy\Jamie-Vardy,FW,31.6,9.49,14.3,66.4,141.7,22.7,5.76,8.07,71.4,2.78,4.08,68.2,1.04,60.6,0.28,0.16,0.13,0.85,0.41,0.35,0,0.79
490,Joël Veltman\Joel-Veltman,DF,25.3,45.5,58.9,77.3,900.3,359,16.3,18.6,87.5,23,28.1,81.7,10.9,54.2,0.04,0.04,0,0.83,3.79,1.38,0.51,4.78
491,Jannik Vestergaard\Jannik-Vestergaard,DF,28.6,50.5,59.9,84.3,1045.6,379.4,17.6,19,92.6,25.7,28.8,89,11.2,62.6,0,0.02,-0.02,0.24,3.43,0.31,0,2.55
492,Rúben Vinagre\Ruben-Vinagre,DF,1.9,43.2,51.6,83.7,689.5,170.5,23.2,25.3,91.7,16.3,21.1,77.5,4.74,77.8,0,0,0,0,1.05,0.53,0.53,1.05
493,Carlos Vinícius\Carlos-Vinicius,FW,3.4,7.35,12.9,56.8,101.2,16.8,2.65,5.59,47.4,2.35,3.82,61.5,1.47,40,0,0.03,-0.03,0.59,0.59,0.29,0,0.88
494,João Virgínia\Joao-Virginia,GK,0.5,18,34,52.9,620,446,2,2,100,6,6,100,26,38.5,0,0,0,0,0,0,0,0
495,Vitinha\Vitinha,MF,5.8,50,56.7,88.1,833.4,116.9,23.6,26.4,89.5,20.2,21,95.9,6.9,67.5,0.17,0.12,0.05,2.07,3.62,0.52,0,2.07
496,Jake Vokins\Jake-Vokins,DF,0.7,28.6,31.4,90.9,530,164.3,10,10,100,18.6,18.6,100,1.43,0,0,0.29,-0.29,2.86,0,2.86,1.43,4.29
497,Matěj Vydra\Matej-Vydra,FW,15.2,12.7,17.5,72.6,160.1,24.7,8.62,11.3,76.2,2.76,3.55,77.8,0.92,64.3,0.13,0.12,0.01,0.92,0.46,0.59,0.13,0.86
498,Theo Walcott\Theo-Walcott,MFFW,18,17.1,23.6,72.4,243.6,51.4,10.2,12.4,82.5,5.28,7.39,71.4,1.94,37.1,0.17,0.07,0.1,0.94,1.06,0.78,0.22,1.5
499,Theo Walcott\Theo-Walcott,FW,0.1,10,10,100,180,100,0,0,,10,10,100,0,,0,0,0,0,0,0,0,0
