,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
135,Matt Doherty\Matt-Doherty,DF,13.8,48.3,59.9,80.6,793.1,307.2,26,29.1,89.3,18,22.2,81.1,6.38,53.4,0.14,0.06,0.09,0.8,1.67,1.01,0.51,3.12
136,Gabriel Dos Santos\Gabriel-Dos-Santos,DF,22.2,57.8,67.2,86,1216.7,352.3,17,18.6,91.3,30.4,32.5,93.5,14.9,65.8,0,0,0,0.09,3.69,0.14,0.09,2.39
137,Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,27.1,42.3,49.2,86,739,151,19.1,21.7,87.9,17.8,19.7,90.3,5.42,79.6,0.11,0.08,0.03,0.66,2.55,0.77,0.04,2.4
138,Martin Dúbravka\Martin-Dubravka,GK,13,23.8,32.8,72.6,745.5,412.5,4.85,4.85,100,9.46,9.69,97.6,18.1,51.5,0,0,0,0,0.15,0,0,0
139,Paul Dummett\Paul-Dummett,DF,13.9,29.6,38.5,76.8,554.5,277.1,13.3,14.4,92.5,11.9,14.4,83,8.56,43.7,0,0.04,-0.04,0.29,2.23,0.36,0.14,1.65
140,Lewis Dunk\Lewis-Dunk,DF,32.6,59.4,66,90,1389.4,381.5,14.6,15.5,94.5,30.7,32.2,95.1,17.5,77.5,0,0.03,-0.03,0.28,3.56,0.06,0,2.15
141,Jimmy Dunne\Jimmy-Dunne,DF,3,34.7,48.7,71.2,773.3,190,9.67,12.3,78.4,17.3,22.7,76.5,12.7,57.9,0,0.03,-0.03,0.67,0.33,0.33,0,0.67
142,Ederson\Ederson,GK,36,25.2,30.3,83.1,678.8,385.1,3.64,3.75,97,14.1,14.2,99.2,12.1,59.9,0.03,0.01,0.02,0.03,0.19,0.06,0,0.03
143,Kyle Edwards\Kyle-Edwards,MFFW,1.3,23.1,26.9,85.7,323.1,70,13.8,13.8,100,9.23,10,92.3,1.54,0,0,0,0,0,2.31,0,0,2.31
144,John Egan\John-Egan,DF,29.2,31.7,37.5,84.6,748.3,229.5,7.91,8.66,91.3,16.4,18,91.3,10.3,69.4,0.03,0.01,0.02,0.1,2.77,0.24,0.03,1.99
145,Anthony Elanga\Anthony-Elanga,FW,1.7,25.3,31.2,81.1,395.3,71.2,14.7,16.5,89.3,6.47,7.65,84.6,3.53,83.3,0,0,0,0.59,2.35,0,0,1.18
146,Ahmed Elmohamady\Ahmed-Elmohamady,DF,9.3,49.9,63.9,78.1,954.7,391.5,20.8,22.6,91.9,21.5,27.6,77.8,12.2,58.4,0,0.06,-0.06,1.4,3.87,2.8,0.86,5.16
147,Mohamed Elneny\Mohamed-Elneny,MF,17.2,54.5,58.3,93.4,1074.1,213.5,19.4,20.4,95.2,26.6,27.7,96.2,9.13,86.6,0,0.01,-0.01,0.23,4.48,0.52,0,3.49
148,Jonny Evans\Jonny-Evans,DF,27.5,56.1,64.1,87.5,1231.6,375.6,13.9,15.1,92.3,31.7,33.7,94.2,14.6,68.9,0.07,0.01,0.06,0.29,3.35,0.11,0,2.29
149,Eberechi Eze\Eberechi-Eze,MF,28.4,32.3,40.8,79.3,518.9,153.5,17.7,19.9,89.2,10.5,12.7,82.5,6.13,48.9,0.21,0.1,0.11,1.37,2.71,1.13,0.11,3.91
150,Łukasz Fabiański\Lukasz-Fabianski,GK,35,17.3,28.6,60.5,697.1,496.6,1.54,1.57,98.2,5.31,5.43,97.9,21.6,48.2,0,0,0,0,0.54,0,0,0
151,Fabinho\Fabinho,DFMF,28.5,65.5,71.9,91.1,1339.2,347.2,20.8,22.2,93.7,34.5,36.5,94.7,12.3,77.7,0,0.01,-0.01,0.11,3.86,0.56,0.04,3.58
152,Bruno Fernandes\Bruno-Fernandes,MF,34.4,49.5,66.4,74.6,946.1,271.5,23.6,27.5,85.7,17.1,21.4,79.8,13.7,57.2,0.35,0.32,0.03,2.73,5.15,2.79,0.23,6.6
153,Federico Fernández\Federico-Fernandez,DF,23.1,29,36.2,80.2,633.4,188.7,8.27,9.57,86.4,14.9,16.8,88.9,9.05,62.7,0,0.01,-0.01,0.22,0.82,0.13,0.09,0.82
154,Fernandinho\Fernandinho,MF,13.2,66.5,75.8,87.7,1275.8,345.8,28.2,30.8,91.4,29.1,32,90.8,12,73.6,0.15,0.07,0.08,0.91,10.2,1.29,0.15,7.27
155,Sam Field\Sam-Field,MF,0.7,21.4,32.9,65.2,318.6,58.6,14.3,20,71.4,5.71,7.14,80,4.29,33.3,0,0,0,0,1.43,0,0,2.86
156,Roberto Firmino\Roberto-Firmino,FW,31.5,33.1,41.5,79.7,498.6,125.2,18.8,22,85.5,11,13.7,80.5,2.89,70.3,0.22,0.2,0.02,1.46,2.7,1.37,0,4.25
157,John Fleck\John-Fleck,MF,28.6,33.1,42.4,78,547,173.4,17.3,19,91,11,13.4,82,7.9,46,0.07,0.09,-0.02,1.19,3.95,0.87,0.14,3.6
158,Phil Foden\Phil-Foden,FWMF,18,38.2,46.6,82,580.7,123.2,22.3,24.6,90.7,12.4,14.8,83.9,4.83,48.3,0.28,0.23,0.05,1.89,2.22,1.33,0.11,3.33
159,Wesley Fofana\Wesley-Fofana,DF,25.1,58.7,66.6,88.2,1237.3,331,18.2,19.8,91.6,30.1,32.5,92.5,13.3,75.7,0,0.01,-0.01,0.24,4.46,0.04,0,3.11
160,Pablo Fornals\Pablo-Fornals,FWMF,28.6,29.8,38.5,77.3,492.1,143.4,15.9,18.3,87,10.6,13.5,78,4.69,58.2,0.14,0.09,0.05,1.05,2.52,1.12,0.17,3.78
161,Fraser Forster\Fraser-Forster,GK,8,19.3,34.3,56.2,566.5,372.5,4.75,4.75,100,6.88,7.38,93.2,21.1,32.5,0,0,0,0,0.13,0,0,0
162,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,0.9,72.2,83.3,86.7,1188.9,286.7,33.3,37.8,88.2,35.6,37.8,94.1,6.67,50,0,0.33,-0.33,2.22,4.44,1.11,1.11,1.11
163,Tyrese Francois\Tyrese-Francois,DF,0.2,70,75,93.3,1055,440,40,45,88.9,30,30,100,0,,0,0,0,0,0,0,0,15
164,Ryan Fraser\Ryan-Fraser,FWMF,10.3,23.6,35.8,65.9,409.7,129.1,11.6,13.4,86.2,8.25,11.6,71.4,8.54,35.2,0.19,0.2,-0.01,2.43,0.68,0.97,0.87,1.65
165,Fred\Fred,MF,26.6,58.5,66.3,88.2,1162.1,284.2,21.4,23.5,91.2,26.6,28.8,92.5,11.5,81.7,0,0.09,-0.09,0.9,6.54,0.68,0,5.6
166,Ryan Fredericks\Ryan-Fredericks,DFFW,6.3,32.2,44.3,72.8,471.6,171.7,19,22.2,85.7,10.8,15.4,70.1,3.97,32,0.16,0.19,-0.03,2.06,1.43,2.06,1.11,2.38
167,Christian Fuchs\Christian-Fuchs,DF,7.8,61.3,75.5,81.2,1165.1,449.1,26.2,29.4,89.1,27.9,32.8,85.2,11.9,59.1,0,0,0,0.13,5.38,0.26,0.13,4.23
168,Darnell Furlong\Darnell-Furlong,DF,32.6,21.5,36.1,59.5,411,186,9.48,12.1,78,8.25,13.6,60.7,8.74,37.5,0.09,0.06,0.03,0.52,1.81,0.55,0.43,2.39
169,Conor Gallagher\Conor-Gallagher,MF,28.1,26.4,34,77.8,475.4,107.3,12,14.3,84.3,10.1,11.5,88.2,6.3,54.8,0.07,0.06,0.01,0.64,2.7,0.53,0.07,1.92
170,Eric García\Eric-Garcia,DF,4.3,74.9,80,93.6,1579.5,434.7,21.9,23,94.9,40.2,41.2,97.7,15.3,81.8,0,0.02,-0.02,0.47,6.74,0,0,3.72
171,Dwight Gayle\Dwight-Gayle,FWMF,5.7,16,20,79.8,213.3,27.4,10.7,12.1,88.4,4.21,5.26,80,1.58,33.3,0.18,0.09,0.09,1.05,0,0.35,0,0.53
172,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,0.1,60,90,66.7,1220,360,30,40,75,20,30,66.7,10,100,0,0,0,0,10,0,0,10
173,David de Gea\David-de-Gea,GK,25.5,18,23.3,77.1,480.1,288.7,4.86,4.9,99.2,7.22,7.49,96.3,10.7,53.8,0,0,0,0,0.16,0,0,0
174,Anwar El Ghazi\Anwar-El-Ghazi,FW,17.9,24.1,34.2,70.5,390.8,108.3,13.5,16.4,82.3,7.54,10.3,73.4,4.53,48.1,0,0.13,-0.13,1.34,1.51,1.01,0.56,2.18
175,Kieran Gibbs\Kieran-Gibbs,DF,9,24.8,34.3,72.2,436.6,159.6,11.4,12.9,88.8,10.8,14.7,73.5,6,38.9,0,0.03,-0.03,0.33,1.67,0.33,0.33,1.78
176,Morgan Gibbs-White\Morgan-Gibbs-White,FWMF,4.6,41.3,51.1,80.9,699.8,153,20.7,24.3,84.8,15,17.2,87.3,7.61,62.9,0,0.13,-0.13,1.96,3.48,0.65,0,4.78
177,Billy Gilmour\Billy-Gilmour,MF,2.9,66.2,74.1,89.3,1291.7,183.1,26.2,27.6,95,30,33.4,89.7,12.4,77.8,0,0.03,-0.03,1.03,5.17,0.34,0,3.1
178,Olivier Giroud\Olivier-Giroud,FW,8.3,19.4,26.1,74.2,241.2,30.2,13.4,17.5,76.6,3.49,4.94,70.7,0.96,100,0,0.08,-0.08,0.84,0.84,0.12,0,0.84
179,Ben Godfrey\Ben-Godfrey,DF,29.8,37,43.7,84.6,728.5,192.4,12.7,14.4,88.3,19,20.8,91.1,6.91,67,0.07,0.02,0.05,0.03,1.95,0.17,0.07,1.71
180,André Gomes\Andre-Gomes,MF,17.4,43.1,51.8,83.2,853.2,202.5,17.8,20.3,87.5,17.8,20.3,87.3,9.77,70.6,0.06,0.06,0,0.86,4.71,0.75,0.11,4.6
181,Joe Gomez\Joe-Gomez,DF,6.6,72.9,80.8,90.2,1728.2,464.7,15,16.1,93.4,42.3,45,93.9,18.6,80.5,0,0,0,0.15,4.55,0,0,5.76
182,Anthony Gordon\Anthony-Gordon,FWMF,1,22,26,84.6,365,94,12,13,92.3,8,8,100,4,50,0,0,0,1,1,2,0,3
183,Karlan Grant\Karlan-Grant,FWMF,12.5,13.4,18.2,73.2,196.2,27.6,7.6,9.6,79.2,4.4,5.2,84.6,1.28,62.5,0,0,0,0,0.4,0.48,0,0.72
184,Demarai Gray\Demarai-Gray,FW,0.2,35,55,63.6,580,55,20,20,100,10,10,100,10,50,0,0,0,0,5,0,0,0
185,Jack Grealish\Jack-Grealish,FWMF,24.3,35.6,45.3,78.5,605.8,208.3,18.1,21.2,85.2,12.6,14.9,84.8,6.3,59.5,0.41,0.35,0.06,3.42,3.46,2.96,0.16,6.91
186,Mason Greenwood\Mason-Greenwood,FW,20.2,30.1,36.2,83.1,494.6,80.7,16.7,18.9,88.5,10.1,11.7,86.9,3.91,64.6,0.1,0.09,0.01,0.74,1.29,0.84,0.15,2.08
187,Pascal Groß\Pascal-Gross,MFDF,27.6,45.7,60.5,75.5,935.5,264.4,18.3,21.4,85.4,18.3,22,83.5,15.4,55.7,0.29,0.2,0.09,2.43,2.93,1.81,0.62,4.67
188,Kamil Grosicki\Kamil-Grosicki,FWMF,1.6,20,30.6,65.3,332.5,106.9,8.13,10,81.3,9.38,12.5,75,6.25,20,0.63,0.06,0.56,1.88,2.5,0.63,0,3.13
189,Vicente Guaita\Vicente-Guaita,GK,37,16.2,29.2,55.4,612,438.8,2.24,2.27,98.8,5.11,5.27,96.9,21.5,40.4,0,0,0,0,0.19,0,0,0
190,İlkay Gündoğan\Ilkay-Gundogan,MF,22.5,69,75.9,91,1165.9,218.8,34.9,37,94.5,26.8,28.8,93.1,8.04,76.2,0.09,0.2,-0.11,1.87,6.22,1.56,0.09,5.24
191,Antwoine Hackford\Antwoine-Hackford,DFFW,0.1,10,10,100,40,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0
192,Sébastien Haller\Sebastien-Haller,FW,10.4,16.4,24.2,67.9,264.3,50.5,9.52,13.2,72.3,4.52,6.25,72.3,2.69,60.7,0,0.12,-0.12,0.87,1.25,0.48,0.1,1.83
193,Rekeem Harper\Rekeem-Harper,MF,0.4,32.5,40,81.3,605,82.5,12.5,15,83.3,17.5,17.5,100,7.5,33.3,0,0,0,0,5,0,0,2.5
194,Jack Harrison\Jack-Harrison,MF,31.6,24.9,36.8,67.8,426.2,143.6,12.6,16,78.9,9.53,12.6,75.6,5.89,40.3,0.25,0.22,0.03,1.84,1.17,2.06,0.63,3.51
195,Kortney Hause\Kortney-Hause,DF,7,24.1,30.9,78.2,564.3,178.9,5.57,6.71,83,13,14.7,88.3,8.86,59.7,0,0,0,0,1.57,0,0,1.43
196,Kai Havertz\Kai-Havertz,MFFW,16.9,39,45.3,86.1,566.4,86.2,23.2,25.5,91,11.8,13.6,87,3.02,80.4,0.18,0.09,0.08,1.01,2.01,1.12,0.12,2.49
197,Isaac Hayden\Isaac-Hayden,MFDF,21.6,29.1,36.6,79.6,558.5,124.9,11.4,13.5,84.9,13.7,15.7,87,5.69,67.5,0,0.02,-0.02,0.23,2.22,0.14,0.05,1.9
198,Michael Hector\Michael-Hector,DF,2.9,47.9,60.3,79.4,1201.7,452.8,7.24,8.62,84,26.9,28.6,94,22.1,60.9,0,0,0,0.34,3.45,0.34,0,3.79
199,Ahmed Hegazi\Ahmed-Hegazi,DF,1,37,52,71.2,829,381,11,13,84.6,18,25,72,13,61.5,0,0,0,0,1,0,0,2
200,Dean Henderson\Dean-Henderson,GK,12.5,18.9,25.1,75.2,481.7,270.1,4.8,4.8,100,9.12,9.12,100,11.1,44.6,0,0,0,0,0.32,0,0,0
201,Jordan Henderson\Jordan-Henderson,MFDF,18.9,83.2,95.9,86.8,1735.5,456,27.4,29.7,92,41.2,43.6,94.5,20.7,66.5,0.05,0.07,-0.02,0.63,10.9,1.59,0.05,7.67
202,Jeff Hendrick\Jeff-Hendrick,MF,15.8,27.2,33.7,80.5,476.7,112,12.3,14.6,84,11,12.3,89.7,4.62,67.1,0.06,0.04,0.02,0.25,1.71,0.32,0.06,2.22
203,Pablo Hernández\Pablo-Hernandez,MFFW,4.7,61.7,83.2,74.2,1202.3,414.3,25.5,31.1,82.2,24.9,30.9,80.7,16.2,61.8,0.43,0.15,0.28,1.28,10.2,2.77,0.21,13.4
204,Son Heung-min\Son-Heung-min,FW,34.6,26.6,34.7,76.7,422.1,93.8,14.9,17.2,86.7,7.89,9.94,79.4,5.46,46.6,0.29,0.26,0.03,2.23,0.92,0.84,0.06,1.85
